,emg_min_0,emg_min_1,emg_min_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_0,emg_1,emg_2,emg_med_0,emg_med_1,emg_med_2,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_max_0,emg_max_1,emg_max_2
0,421.0,266.0,403.0,469.0,540.0,540.0,540.0,540.0,540.0,540.0,513.0,513.0,513.0,513.0,513.0,469.0,469.0,469.0,469.0,421.0,421.0,421.0,421.0,524.0,266.0,266.0,266.0,266.0,266.0,266.0,452.0,452.0,452.0,452.0,452.0,578.0,578.0,578.0,578.0,712.0,712.0,712.0,712.0,403.0,521.0,521.0,521.0,521.0,521.0,521.0,530.0,530.0,530.0,530.0,530.0,628.0,628.0,628.0,628.0,409.0,409.0,409.0,409.0,421.0,712.0,409.0,495.24444444444447,470.3333333333333,536.6,361.0,446.0,323.0,540.0,712.0,628.0
0,413.0,266.0,409.0,540.0,540.0,513.0,513.0,513.0,513.0,513.0,469.0,469.0,469.0,469.0,421.0,421.0,421.0,421.0,413.0,413.0,413.0,413.0,538.0,266.0,266.0,452.0,452.0,452.0,452.0,452.0,578.0,578.0,578.0,578.0,712.0,712.0,712.0,712.0,618.0,618.0,618.0,618.0,659.0,521.0,521.0,530.0,530.0,530.0,530.0,530.0,628.0,628.0,628.0,628.0,409.0,409.0,409.0,409.0,609.0,609.0,609.0,609.0,611.0,538.0,659.0,611.0,511.0888888888889,485.0888888888889,552.3333333333334,361.0,446.0,323.0,540.0,712.0,628.0
0,413.0,452.0,409.0,513.0,513.0,469.0,469.0,469.0,469.0,421.0,421.0,421.0,421.0,413.0,413.0,413.0,413.0,538.0,538.0,538.0,538.0,577.0,577.0,452.0,452.0,578.0,578.0,578.0,578.0,712.0,712.0,712.0,712.0,618.0,618.0,618.0,618.0,659.0,659.0,659.0,659.0,679.0,679.0,530.0,530.0,628.0,628.0,628.0,628.0,409.0,409.0,409.0,409.0,609.0,609.0,609.0,609.0,611.0,611.0,611.0,611.0,581.0,581.0,577.0,679.0,581.0,516.5555555555555,509.2,558.2,228.0,446.0,323.0,577.0,712.0,628.0
0,413.0,502.0,409.0,469.0,421.0,421.0,421.0,421.0,413.0,413.0,413.0,413.0,538.0,538.0,538.0,538.0,538.0,577.0,577.0,577.0,577.0,506.0,506.0,578.0,712.0,712.0,712.0,712.0,618.0,618.0,618.0,618.0,659.0,659.0,659.0,659.0,659.0,679.0,679.0,679.0,679.0,502.0,502.0,628.0,409.0,409.0,409.0,409.0,609.0,609.0,609.0,609.0,611.0,611.0,611.0,611.0,611.0,581.0,581.0,581.0,581.0,599.0,599.0,506.0,502.0,599.0,511.97777777777776,517.4,559.0444444444445,205.0,446.0,323.0,577.0,712.0,628.0
0,413.0,498.0,409.0,421.0,413.0,413.0,413.0,413.0,538.0,538.0,538.0,538.0,538.0,577.0,577.0,577.0,577.0,506.0,506.0,506.0,506.0,506.0,523.0,712.0,618.0,618.0,618.0,618.0,659.0,659.0,659.0,659.0,659.0,679.0,679.0,679.0,679.0,502.0,502.0,502.0,502.0,502.0,498.0,409.0,609.0,609.0,609.0,609.0,611.0,611.0,611.0,611.0,611.0,581.0,581.0,581.0,581.0,599.0,599.0,599.0,599.0,599.0,470.0,523.0,498.0,470.0,503.31111111111113,528.1111111111111,548.2444444444444,205.0,446.0,323.0,577.0,712.0,611.0
0,413.0,441.0,216.0,413.0,538.0,538.0,538.0,538.0,538.0,577.0,577.0,577.0,577.0,506.0,506.0,506.0,506.0,506.0,523.0,523.0,523.0,523.0,486.0,618.0,659.0,659.0,659.0,659.0,659.0,679.0,679.0,679.0,679.0,502.0,502.0,502.0,502.0,502.0,498.0,498.0,498.0,498.0,441.0,609.0,611.0,611.0,611.0,611.0,611.0,581.0,581.0,581.0,581.0,599.0,599.0,599.0,599.0,599.0,470.0,470.0,470.0,470.0,216.0,486.0,441.0,216.0,500.6666666666667,533.6444444444444,534.2,164.0,446.0,412.0,577.0,679.0,611.0
0,486.0,350.0,216.0,538.0,538.0,577.0,577.0,577.0,577.0,506.0,506.0,506.0,506.0,506.0,523.0,523.0,523.0,523.0,486.0,486.0,486.0,486.0,602.0,659.0,659.0,679.0,679.0,679.0,679.0,502.0,502.0,502.0,502.0,502.0,498.0,498.0,498.0,498.0,441.0,441.0,441.0,441.0,350.0,611.0,611.0,581.0,581.0,581.0,581.0,599.0,599.0,599.0,599.0,599.0,470.0,470.0,470.0,470.0,216.0,216.0,216.0,216.0,674.0,602.0,350.0,674.0,503.1777777777778,529.9777777777778,525.1333333333333,189.0,446.0,458.0,602.0,679.0,674.0
0,486.0,350.0,216.0,577.0,577.0,506.0,506.0,506.0,506.0,506.0,523.0,523.0,523.0,523.0,486.0,486.0,486.0,486.0,602.0,602.0,602.0,602.0,602.0,679.0,679.0,502.0,502.0,502.0,502.0,502.0,498.0,498.0,498.0,498.0,441.0,441.0,441.0,441.0,350.0,350.0,350.0,350.0,350.0,581.0,581.0,599.0,599.0,599.0,599.0,599.0,470.0,470.0,470.0,470.0,216.0,216.0,216.0,216.0,674.0,674.0,674.0,674.0,674.0,602.0,350.0,674.0,508.68888888888887,537.4444444444445,538.7333333333333,189.0,446.0,458.0,602.0,679.0,674.0
0,475.0,350.0,216.0,506.0,506.0,523.0,523.0,523.0,523.0,486.0,486.0,486.0,486.0,602.0,602.0,602.0,602.0,602.0,475.0,475.0,475.0,475.0,551.0,502.0,502.0,498.0,498.0,498.0,498.0,441.0,441.0,441.0,441.0,350.0,350.0,350.0,350.0,350.0,523.0,523.0,523.0,523.0,441.0,599.0,599.0,470.0,470.0,470.0,470.0,216.0,216.0,216.0,216.0,674.0,674.0,674.0,674.0,674.0,717.0,717.0,717.0,717.0,820.0,551.0,441.0,820.0,505.55555555555554,547.6444444444444,562.0,189.0,362.0,604.0,602.0,523.0,820.0
0,470.0,350.0,216.0,523.0,523.0,486.0,486.0,486.0,486.0,602.0,602.0,602.0,602.0,602.0,475.0,475.0,475.0,475.0,551.0,551.0,551.0,551.0,470.0,498.0,498.0,441.0,441.0,441.0,441.0,350.0,350.0,350.0,350.0,350.0,523.0,523.0,523.0,523.0,441.0,441.0,441.0,441.0,416.0,470.0,470.0,216.0,216.0,216.0,216.0,674.0,674.0,674.0,674.0,674.0,717.0,717.0,717.0,717.0,820.0,820.0,820.0,820.0,791.0,470.0,416.0,791.0,510.06666666666666,537.7111111111111,580.6,189.0,362.0,604.0,602.0,523.0,820.0
