,emg_max_0,emg_max_1,emg_max_2,emg_0,emg_1,emg_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_med_0,emg_med_1,emg_med_2,emg_min_0,emg_min_1,emg_min_2
0,649.0,664.0,688.0,537.0,532.0,601.0,489.0,489.0,489.0,489.0,489.0,628.0,628.0,628.0,628.0,628.0,525.0,525.0,525.0,525.0,525.0,649.0,649.0,649.0,649.0,537.0,394.0,394.0,394.0,394.0,394.0,455.0,455.0,455.0,455.0,455.0,664.0,664.0,664.0,664.0,664.0,655.0,655.0,655.0,655.0,532.0,646.0,646.0,646.0,646.0,646.0,539.0,539.0,539.0,539.0,539.0,688.0,688.0,688.0,688.0,688.0,632.0,632.0,632.0,632.0,601.0,287.0,430.0,368.0,502.2,618.9777777777778,608.4444444444445,489.0,394.0,539.0
0,649.0,664.0,688.0,524.0,554.0,561.0,628.0,628.0,628.0,628.0,628.0,525.0,525.0,525.0,525.0,649.0,649.0,649.0,649.0,537.0,537.0,537.0,537.0,537.0,524.0,524.0,455.0,455.0,455.0,455.0,455.0,664.0,664.0,664.0,664.0,655.0,655.0,655.0,655.0,532.0,532.0,532.0,532.0,532.0,554.0,554.0,539.0,539.0,539.0,539.0,539.0,688.0,688.0,688.0,688.0,632.0,632.0,632.0,632.0,601.0,601.0,601.0,601.0,601.0,561.0,561.0,287.0,321.0,340.0,516.3555555555556,587.0222222222222,594.7777777777778,524.0,455.0,539.0
0,649.0,664.0,688.0,554.0,558.0,524.0,525.0,525.0,525.0,525.0,525.0,649.0,649.0,649.0,649.0,537.0,537.0,537.0,537.0,537.0,524.0,524.0,524.0,524.0,524.0,554.0,664.0,664.0,664.0,664.0,664.0,655.0,655.0,655.0,655.0,532.0,532.0,532.0,532.0,532.0,554.0,554.0,554.0,554.0,554.0,558.0,688.0,688.0,688.0,688.0,688.0,632.0,632.0,632.0,632.0,601.0,601.0,601.0,601.0,601.0,561.0,561.0,561.0,561.0,561.0,524.0,287.0,321.0,340.0,535.0222222222222,574.5555555555555,581.5111111111111,524.0,532.0,524.0
0,649.0,655.0,632.0,517.0,595.0,628.0,649.0,649.0,649.0,537.0,537.0,537.0,537.0,537.0,524.0,524.0,524.0,524.0,524.0,554.0,554.0,554.0,554.0,554.0,517.0,517.0,655.0,655.0,655.0,532.0,532.0,532.0,532.0,532.0,554.0,554.0,554.0,554.0,554.0,558.0,558.0,558.0,558.0,558.0,595.0,595.0,632.0,632.0,632.0,601.0,601.0,601.0,601.0,601.0,561.0,561.0,561.0,561.0,561.0,524.0,524.0,524.0,524.0,524.0,628.0,628.0,160.0,321.0,340.0,546.7777777777778,563.1333333333333,589.0444444444445,517.0,532.0,524.0
0,554.0,695.0,628.0,498.0,695.0,622.0,537.0,537.0,537.0,537.0,524.0,524.0,524.0,524.0,524.0,554.0,554.0,554.0,554.0,554.0,517.0,517.0,517.0,517.0,517.0,498.0,532.0,532.0,532.0,532.0,554.0,554.0,554.0,554.0,554.0,558.0,558.0,558.0,558.0,558.0,595.0,595.0,595.0,595.0,595.0,695.0,601.0,601.0,601.0,601.0,561.0,561.0,561.0,561.0,561.0,524.0,524.0,524.0,524.0,524.0,628.0,628.0,628.0,628.0,628.0,622.0,160.0,301.0,164.0,548.2666666666667,556.4222222222222,603.8444444444444,498.0,532.0,524.0
0,554.0,695.0,634.0,546.0,652.0,634.0,524.0,524.0,524.0,524.0,524.0,554.0,554.0,554.0,554.0,554.0,517.0,517.0,517.0,517.0,517.0,498.0,498.0,498.0,498.0,546.0,554.0,554.0,554.0,554.0,554.0,558.0,558.0,558.0,558.0,558.0,595.0,595.0,595.0,595.0,595.0,695.0,695.0,695.0,695.0,652.0,561.0,561.0,561.0,561.0,561.0,524.0,524.0,524.0,524.0,524.0,628.0,628.0,628.0,628.0,628.0,622.0,622.0,622.0,622.0,634.0,160.0,301.0,164.0,545.6888888888889,564.0888888888888,604.7555555555556,498.0,554.0,524.0
0,554.0,695.0,694.0,534.0,569.0,694.0,524.0,554.0,554.0,554.0,554.0,554.0,517.0,517.0,517.0,517.0,517.0,498.0,498.0,498.0,498.0,546.0,546.0,546.0,534.0,534.0,554.0,558.0,558.0,558.0,558.0,558.0,595.0,595.0,595.0,595.0,595.0,695.0,695.0,695.0,695.0,652.0,652.0,652.0,569.0,569.0,561.0,524.0,524.0,524.0,524.0,524.0,628.0,628.0,628.0,628.0,628.0,622.0,622.0,622.0,622.0,634.0,634.0,634.0,694.0,694.0,160.0,301.0,170.0,548.8222222222222,579.3777777777777,606.7333333333333,498.0,554.0,524.0
0,554.0,695.0,694.0,531.0,573.0,642.0,554.0,554.0,517.0,517.0,517.0,517.0,517.0,498.0,498.0,498.0,498.0,546.0,546.0,546.0,534.0,534.0,534.0,534.0,531.0,531.0,558.0,558.0,595.0,595.0,595.0,595.0,595.0,695.0,695.0,695.0,695.0,652.0,652.0,652.0,569.0,569.0,569.0,569.0,573.0,573.0,524.0,524.0,628.0,628.0,628.0,628.0,628.0,622.0,622.0,622.0,622.0,634.0,634.0,634.0,694.0,694.0,694.0,694.0,642.0,642.0,151.0,240.0,170.0,546.5111111111111,592.4,613.4444444444445,498.0,558.0,524.0
0,648.0,695.0,694.0,648.0,636.0,603.0,517.0,517.0,517.0,498.0,498.0,498.0,546.0,546.0,546.0,534.0,534.0,534.0,534.0,531.0,531.0,531.0,531.0,531.0,648.0,648.0,595.0,595.0,595.0,695.0,695.0,695.0,652.0,652.0,652.0,569.0,569.0,569.0,569.0,573.0,573.0,573.0,573.0,573.0,636.0,636.0,628.0,628.0,628.0,622.0,622.0,622.0,634.0,634.0,634.0,694.0,694.0,694.0,694.0,642.0,642.0,642.0,642.0,642.0,603.0,603.0,151.0,163.0,170.0,542.7777777777778,599.6444444444444,618.4222222222222,498.0,569.0,603.0
0,648.0,719.0,694.0,434.0,719.0,509.0,498.0,546.0,546.0,546.0,534.0,534.0,534.0,534.0,531.0,531.0,531.0,531.0,531.0,648.0,648.0,648.0,648.0,648.0,434.0,434.0,695.0,652.0,652.0,652.0,569.0,569.0,569.0,569.0,573.0,573.0,573.0,573.0,573.0,636.0,636.0,636.0,636.0,636.0,719.0,719.0,622.0,634.0,634.0,634.0,694.0,694.0,694.0,694.0,642.0,642.0,642.0,642.0,642.0,603.0,603.0,603.0,603.0,603.0,509.0,509.0,215.0,187.0,185.0,544.1555555555556,600.0,605.4,434.0,569.0,509.0
