,unixtime,emg0,emg1,emg0_ampl,emg1_ampl,emg0_med,emg1_med
0,1555414683.0245662,503.0,491.0,63.0,156.0,508.05,500.7
1,1555414683.0952392,518.0,490.0,63.0,156.0,508.55,502.05
2,1555414683.155961,521.0,507.0,63.0,156.0,509.6,504.3
3,1555414683.218827,513.0,446.0,63.0,154.0,510.6,504.45
4,1555414683.28206,499.0,451.0,58.0,154.0,507.9,498.65
5,1555414683.3436122,496.0,495.0,58.0,154.0,508.1,499.55
6,1555414683.4057646,486.0,451.0,62.0,154.0,507.05,494.1
7,1555414683.4684584,497.0,446.0,62.0,154.0,506.5,492.05
8,1555414683.533095,512.0,516.0,62.0,154.0,506.55,495.1
9,1555414683.5972712,540.0,640.0,62.0,195.0,507.85,502.75
10,1555414683.6717637,502.0,513.0,62.0,195.0,507.65,501.2
11,1555414683.7491777,502.0,452.0,62.0,195.0,507.3,498.35
12,1555414683.8118565,509.0,436.0,62.0,204.0,507.35,495.25
13,1555414683.876368,490.0,538.0,62.0,204.0,507.15,498.55
14,1555414683.9417157,525.0,552.0,62.0,204.0,507.85,501.3
15,1555414684.013643,497.0,468.0,62.0,204.0,507.85,500.0
16,1555414684.0853302,508.0,538.0,62.0,204.0,508.05,500.4
17,1555414684.150666,510.0,548.0,62.0,204.0,509.05,505.55
18,1555414684.2159758,516.0,498.0,62.0,204.0,509.6,503.75
19,1555414684.2819426,521.0,520.0,54.0,204.0,508.25,499.8
20,1555414684.3494506,506.0,516.0,54.0,204.0,508.4,501.05
21,1555414684.4134586,494.0,522.0,54.0,204.0,507.2,502.65
22,1555414684.4796278,545.0,542.0,59.0,204.0,508.4,504.4
23,1555414684.5450444,502.0,523.0,59.0,204.0,507.85,508.25
24,1555414684.6194513,482.0,430.0,63.0,210.0,507.0,507.2
25,1555414684.690761,508.0,482.0,63.0,210.0,507.6,506.55
26,1555414684.756825,511.0,522.0,63.0,210.0,508.85,510.1
27,1555414684.8282645,509.0,494.0,63.0,210.0,509.45,512.5
28,1555414684.8949218,509.0,505.0,63.0,210.0,509.3,511.95
29,1555414684.9648964,469.0,435.0,76.0,122.0,505.75,501.7
30,1555414685.02781,492.0,421.0,76.0,131.0,505.25,497.1
31,1555414685.0954454,509.0,529.0,76.0,131.0,505.6,500.95
32,1555414685.164672,503.0,541.0,76.0,131.0,505.3,506.2
33,1555414685.2310073,499.0,480.0,76.0,131.0,505.75,503.3
34,1555414685.294176,533.0,564.0,76.0,143.0,506.15,503.9
35,1555414685.3656116,519.0,565.0,76.0,144.0,507.25,508.75
36,1555414685.4346185,513.0,570.0,76.0,149.0,507.5,510.35
37,1555414685.5000608,487.0,538.0,76.0,149.0,506.35,509.85
38,1555414685.5641005,532.0,512.0,76.0,149.0,507.15,510.55
39,1555414685.6357963,505.0,488.0,76.0,149.0,506.35,508.95
40,1555414685.7101161,506.0,467.0,76.0,149.0,506.35,506.5
41,1555414685.7869573,548.0,500.0,79.0,149.0,509.05,505.4
42,1555414685.86387,522.0,532.0,79.0,149.0,507.9,504.9
43,1555414685.9348674,517.0,552.0,79.0,149.0,508.65,506.35
44,1555414686.007156,519.0,539.0,79.0,149.0,510.5,511.8
45,1555414686.0883286,499.0,504.0,79.0,149.0,510.05,512.9
46,1555414686.1653302,503.0,480.0,79.0,149.0,509.65,510.8
47,1555414686.2296143,563.0,581.0,94.0,160.0,512.35,515.15
48,1555414686.2940433,500.0,476.0,94.0,160.0,511.9,513.7
49,1555414686.3616817,519.0,440.0,76.0,160.0,514.4,513.95
50,1555414686.4325905,504.0,471.0,76.0,141.0,515.0,516.45
51,1555414686.506606,565.0,588.0,78.0,148.0,517.8,519.4
52,1555414686.5717468,510.0,520.0,78.0,148.0,518.15,518.35
53,1555414686.640948,501.0,503.0,78.0,148.0,518.25,519.5
54,1555414686.7097144,471.0,496.0,94.0,148.0,515.15,516.1
55,1555414686.780472,485.0,567.0,94.0,148.0,513.45,516.2
56,1555414686.862755,454.0,494.0,111.0,148.0,510.5,512.4
57,1555414686.9329686,468.0,549.0,111.0,148.0,509.55,512.95
58,1555414687.005372,477.0,503.0,111.0,148.0,506.8,512.5
59,1555414687.0828812,470.0,485.0,111.0,148.0,505.05,512.35
60,1555414687.1650722,493.0,522.0,111.0,148.0,504.4,515.1
61,1555414687.2446032,497.0,427.0,111.0,161.0,501.85,511.45
62,1555414687.3219929,496.0,449.0,111.0,161.0,500.55,507.3
63,1555414687.3912632,525.0,443.0,111.0,161.0,500.95,501.85
