,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_0,emg_1,emg_2,emg_med_0,emg_med_1,emg_med_2,emg_min_0,emg_min_1,emg_min_2,emg_max_0,emg_max_1,emg_max_2
0,506.0,508.0,508.0,508.0,508.0,503.0,503.0,503.0,503.0,503.0,508.0,508.0,508.0,508.0,508.0,511.0,511.0,511.0,511.0,512.0,517.0,488.0,488.0,488.0,488.0,496.0,496.0,496.0,496.0,496.0,512.0,512.0,512.0,512.0,512.0,521.0,521.0,521.0,521.0,511.0,450.0,455.0,455.0,455.0,455.0,469.0,469.0,469.0,469.0,469.0,511.0,511.0,511.0,511.0,511.0,603.0,603.0,603.0,603.0,615.0,9.0,53.0,179.0,512.0,511.0,615.0,507.68888888888887,499.8666666666667,499.22222222222223,503.0,488.0,450.0,512.0,521.0,615.0
0,508.0,503.0,503.0,503.0,503.0,503.0,508.0,508.0,508.0,508.0,508.0,511.0,511.0,511.0,511.0,512.0,512.0,512.0,512.0,512.0,488.0,496.0,496.0,496.0,496.0,496.0,512.0,512.0,512.0,512.0,512.0,521.0,521.0,521.0,521.0,511.0,511.0,511.0,511.0,523.0,455.0,469.0,469.0,469.0,469.0,469.0,511.0,511.0,511.0,511.0,511.0,603.0,603.0,603.0,603.0,615.0,615.0,615.0,615.0,583.0,9.0,55.0,179.0,512.0,523.0,583.0,508.31111111111113,501.9111111111111,500.55555555555554,503.0,488.0,455.0,512.0,523.0,615.0
0,503.0,508.0,508.0,508.0,508.0,508.0,511.0,511.0,511.0,511.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,510.0,496.0,512.0,512.0,512.0,512.0,512.0,521.0,521.0,521.0,521.0,511.0,511.0,511.0,511.0,523.0,523.0,523.0,523.0,523.0,530.0,469.0,511.0,511.0,511.0,511.0,511.0,603.0,603.0,603.0,603.0,615.0,615.0,615.0,615.0,583.0,583.0,583.0,583.0,583.0,534.0,9.0,42.0,179.0,510.0,530.0,534.0,508.84444444444443,507.64444444444445,504.7111111111111,503.0,496.0,469.0,512.0,530.0,615.0
0,508.0,511.0,511.0,511.0,511.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,510.0,510.0,510.0,510.0,510.0,508.0,512.0,521.0,521.0,521.0,521.0,511.0,511.0,511.0,511.0,523.0,523.0,523.0,523.0,523.0,530.0,530.0,530.0,530.0,530.0,528.0,511.0,603.0,603.0,603.0,603.0,615.0,615.0,615.0,615.0,583.0,583.0,583.0,583.0,583.0,534.0,534.0,534.0,534.0,534.0,483.0,9.0,42.0,179.0,508.0,528.0,483.0,508.8,511.46666666666664,510.6222222222222,508.0,511.0,483.0,512.0,530.0,615.0
0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,510.0,510.0,510.0,510.0,510.0,508.0,508.0,508.0,508.0,508.0,508.0,511.0,511.0,511.0,511.0,523.0,523.0,523.0,523.0,523.0,530.0,530.0,530.0,530.0,530.0,528.0,528.0,528.0,528.0,528.0,522.0,615.0,615.0,615.0,615.0,583.0,583.0,583.0,583.0,583.0,534.0,534.0,534.0,534.0,534.0,483.0,483.0,483.0,483.0,483.0,469.0,9.0,42.0,179.0,508.0,522.0,469.0,508.6222222222222,514.1333333333333,514.8666666666667,508.0,511.0,469.0,512.0,530.0,615.0
0,512.0,512.0,512.0,512.0,512.0,510.0,510.0,510.0,510.0,510.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,505.0,523.0,523.0,523.0,523.0,523.0,530.0,530.0,530.0,530.0,530.0,528.0,528.0,528.0,528.0,528.0,522.0,522.0,522.0,522.0,522.0,583.0,583.0,583.0,583.0,583.0,534.0,534.0,534.0,534.0,534.0,483.0,483.0,483.0,483.0,483.0,469.0,469.0,469.0,469.0,481.0,9.0,42.0,165.0,505.0,522.0,481.0,508.53333333333336,515.2444444444444,517.7555555555556,505.0,522.0,469.0,512.0,530.0,583.0
0,510.0,510.0,510.0,510.0,510.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,505.0,505.0,505.0,505.0,505.0,518.0,530.0,530.0,530.0,530.0,530.0,528.0,528.0,528.0,528.0,528.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,508.0,534.0,534.0,534.0,534.0,534.0,483.0,483.0,483.0,483.0,483.0,469.0,469.0,469.0,469.0,481.0,481.0,481.0,481.0,481.0,499.0,15.0,42.0,160.0,518.0,508.0,499.0,508.6222222222222,516.7777777777778,521.3777777777777,505.0,508.0,469.0,518.0,530.0,534.0
0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,505.0,505.0,505.0,505.0,505.0,518.0,518.0,518.0,518.0,510.0,510.0,528.0,528.0,528.0,528.0,528.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,508.0,508.0,508.0,508.0,502.0,502.0,483.0,483.0,483.0,483.0,483.0,469.0,469.0,469.0,469.0,481.0,481.0,481.0,481.0,481.0,499.0,499.0,499.0,499.0,519.0,519.0,15.0,34.0,146.0,510.0,502.0,519.0,509.8888888888889,518.3333333333334,525.7777777777778,505.0,502.0,469.0,518.0,528.0,519.0
0,508.0,508.0,508.0,505.0,505.0,505.0,505.0,505.0,518.0,518.0,518.0,518.0,518.0,510.0,510.0,510.0,510.0,510.0,507.0,507.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,508.0,508.0,508.0,508.0,508.0,502.0,502.0,502.0,502.0,502.0,511.0,511.0,469.0,469.0,469.0,481.0,481.0,481.0,481.0,481.0,499.0,499.0,499.0,499.0,499.0,519.0,519.0,519.0,519.0,519.0,543.0,543.0,13.0,28.0,146.0,507.0,511.0,543.0,510.24444444444447,518.1111111111111,529.7777777777778,505.0,502.0,469.0,518.0,522.0,543.0
0,505.0,505.0,505.0,518.0,518.0,518.0,518.0,518.0,510.0,510.0,510.0,510.0,510.0,507.0,507.0,507.0,507.0,507.0,507.0,508.0,522.0,522.0,522.0,508.0,508.0,508.0,508.0,508.0,502.0,502.0,502.0,502.0,502.0,511.0,511.0,511.0,511.0,511.0,511.0,507.0,481.0,481.0,481.0,499.0,499.0,499.0,499.0,499.0,519.0,519.0,519.0,519.0,519.0,543.0,543.0,543.0,543.0,543.0,543.0,582.0,13.0,28.0,146.0,508.0,507.0,582.0,509.8888888888889,517.1111111111111,526.0222222222222,505.0,502.0,481.0,518.0,522.0,582.0
