,emg_0,emg_1,emg_2,emg_med_0,emg_med_1,emg_med_2,emg_max_0,emg_max_1,emg_max_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_min_0,emg_min_1,emg_min_2
0,512.0,537.0,588.0,510.73333333333335,527.7555555555556,478.6666666666667,518.0,549.0,588.0,518.0,518.0,518.0,505.0,505.0,505.0,505.0,510.0,510.0,510.0,518.0,518.0,518.0,518.0,518.0,512.0,512.0,512.0,512.0,512.0,541.0,541.0,541.0,549.0,549.0,549.0,549.0,548.0,548.0,548.0,546.0,546.0,546.0,546.0,546.0,537.0,537.0,537.0,537.0,537.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,513.0,513.0,513.0,540.0,540.0,540.0,540.0,540.0,588.0,588.0,588.0,588.0,588.0,19.0,56.0,295.0,505.0,537.0,499.0
0,508.0,516.0,621.0,511.31111111111113,531.0,482.46666666666664,518.0,549.0,621.0,505.0,505.0,505.0,510.0,510.0,510.0,518.0,518.0,518.0,518.0,518.0,512.0,512.0,512.0,512.0,512.0,514.0,514.0,514.0,508.0,549.0,549.0,549.0,548.0,548.0,548.0,546.0,546.0,546.0,546.0,546.0,537.0,537.0,537.0,537.0,537.0,534.0,534.0,534.0,516.0,499.0,499.0,499.0,513.0,513.0,513.0,540.0,540.0,540.0,540.0,540.0,588.0,588.0,588.0,588.0,588.0,582.0,582.0,582.0,621.0,19.0,45.0,328.0,505.0,516.0,499.0
0,508.0,509.0,556.0,511.3777777777778,531.5111111111111,495.75555555555553,518.0,548.0,621.0,510.0,510.0,510.0,518.0,518.0,518.0,518.0,518.0,512.0,512.0,512.0,512.0,512.0,514.0,514.0,514.0,508.0,508.0,508.0,508.0,548.0,548.0,548.0,546.0,546.0,546.0,546.0,546.0,537.0,537.0,537.0,537.0,537.0,534.0,534.0,534.0,516.0,516.0,516.0,509.0,513.0,513.0,513.0,540.0,540.0,540.0,540.0,540.0,588.0,588.0,588.0,588.0,588.0,582.0,582.0,582.0,621.0,621.0,621.0,556.0,19.0,45.0,328.0,508.0,509.0,513.0
0,507.0,499.0,504.0,511.35555555555555,531.6444444444444,513.2222222222222,518.0,546.0,621.0,518.0,518.0,518.0,518.0,512.0,512.0,512.0,512.0,512.0,514.0,514.0,514.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,507.0,546.0,546.0,546.0,546.0,537.0,537.0,537.0,537.0,537.0,534.0,534.0,534.0,516.0,516.0,516.0,509.0,509.0,509.0,509.0,499.0,540.0,540.0,540.0,540.0,588.0,588.0,588.0,588.0,588.0,582.0,582.0,582.0,621.0,621.0,621.0,556.0,556.0,556.0,556.0,504.0,19.0,50.0,265.0,507.0,499.0,504.0
0,507.0,499.0,504.0,510.64444444444445,530.2222222222222,526.3777777777777,514.0,537.0,621.0,512.0,512.0,512.0,512.0,512.0,514.0,514.0,514.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,507.0,507.0,507.0,507.0,507.0,537.0,537.0,537.0,537.0,537.0,534.0,534.0,534.0,516.0,516.0,516.0,509.0,509.0,509.0,509.0,499.0,499.0,499.0,499.0,499.0,588.0,588.0,588.0,588.0,588.0,582.0,582.0,582.0,621.0,621.0,621.0,556.0,556.0,556.0,556.0,504.0,504.0,504.0,504.0,504.0,19.0,50.0,265.0,507.0,499.0,504.0
0,504.0,476.0,472.0,509.6222222222222,526.6888888888889,529.7111111111111,514.0,537.0,621.0,512.0,514.0,514.0,514.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,507.0,507.0,507.0,507.0,507.0,503.0,503.0,504.0,504.0,537.0,534.0,534.0,534.0,516.0,516.0,516.0,509.0,509.0,509.0,509.0,499.0,499.0,499.0,499.0,499.0,488.0,488.0,476.0,476.0,588.0,582.0,582.0,582.0,621.0,621.0,621.0,556.0,556.0,556.0,556.0,504.0,504.0,504.0,504.0,504.0,423.0,423.0,472.0,472.0,19.0,73.0,198.0,503.0,476.0,423.0
0,504.0,469.0,456.0,510.06666666666666,521.4666666666667,526.3333333333334,508.0,516.0,621.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,507.0,507.0,507.0,507.0,507.0,503.0,503.0,504.0,504.0,504.0,504.0,504.0,504.0,516.0,516.0,516.0,509.0,509.0,509.0,509.0,499.0,499.0,499.0,499.0,499.0,488.0,488.0,476.0,476.0,476.0,476.0,476.0,469.0,621.0,621.0,621.0,556.0,556.0,556.0,556.0,504.0,504.0,504.0,504.0,504.0,423.0,423.0,472.0,472.0,472.0,472.0,472.0,456.0,15.0,80.0,198.0,503.0,469.0,423.0
0,501.0,464.0,508.0,508.3777777777778,513.2444444444444,523.8666666666667,508.0,509.0,556.0,508.0,508.0,507.0,507.0,507.0,507.0,507.0,503.0,503.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,501.0,501.0,509.0,509.0,499.0,499.0,499.0,499.0,499.0,488.0,488.0,476.0,476.0,476.0,476.0,476.0,469.0,469.0,469.0,469.0,464.0,464.0,556.0,556.0,504.0,504.0,504.0,504.0,504.0,423.0,423.0,472.0,472.0,472.0,472.0,472.0,456.0,456.0,456.0,456.0,508.0,508.0,17.0,85.0,198.0,501.0,464.0,423.0
0,501.0,464.0,508.0,508.1111111111111,507.5777777777778,524.4666666666667,507.0,499.0,508.0,507.0,507.0,507.0,507.0,503.0,503.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,501.0,501.0,501.0,501.0,501.0,499.0,499.0,499.0,499.0,488.0,488.0,476.0,476.0,476.0,476.0,476.0,469.0,469.0,469.0,469.0,464.0,464.0,464.0,464.0,464.0,504.0,504.0,504.0,504.0,423.0,423.0,472.0,472.0,472.0,472.0,472.0,456.0,456.0,456.0,456.0,508.0,508.0,508.0,508.0,508.0,17.0,85.0,198.0,501.0,464.0,423.0
0,504.0,469.0,534.0,507.31111111111113,498.4888888888889,525.4444444444445,504.0,488.0,534.0,503.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,501.0,501.0,501.0,501.0,501.0,503.0,503.0,503.0,504.0,504.0,488.0,476.0,476.0,476.0,476.0,476.0,469.0,469.0,469.0,469.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,469.0,469.0,423.0,472.0,472.0,472.0,472.0,472.0,456.0,456.0,456.0,456.0,508.0,508.0,508.0,508.0,508.0,518.0,518.0,518.0,534.0,534.0,17.0,82.0,198.0,501.0,464.0,423.0
