,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_med_0,emg_med_1,emg_med_2,emg_min_0,emg_min_1,emg_min_2,emg_0,emg_1,emg_2,emg_max_0,emg_max_1,emg_max_2,emg_ampl_0,emg_ampl_1,emg_ampl_2
0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.0,589.0,589.0,589.0,589.0,589.0,589.0,589.0,589.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,505.9,0.0,550.8,505.0,0.0,433.0,505.0,0.0,433.0,506.0,0.0,589.0,3.0,0.0,242.0
0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,506.0,506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,397.0,397.0,505.3,0.0,479.8,505.0,0.0,433.0,505.0,0.0,433.0,505.0,0.0,433.0,1.0,0.0,156.0
0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,507.0,507.0,507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,433.0,433.0,433.0,433.0,433.0,433.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,505.43333333333334,0.0,418.6,505.0,0.0,397.0,506.0,0.0,397.0,507.0,0.0,433.0,1.0,0.0,36.0
0,506.0,506.0,506.0,506.0,506.0,506.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,506.3,0.0,403.0,506.0,0.0,397.0,507.0,0.0,397.0,507.0,0.0,397.0,2.0,0.0,36.0
0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,509.0,509.0,509.0,509.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,12.0,12.0,12.0,12.0,397.0,397.0,397.0,397.0,397.0,397.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,430.0,430.0,430.0,430.0,507.1,2.1333333333333333,403.53333333333336,507.0,0.0,397.0,509.0,12.0,430.0,509.0,12.0,430.0,3.0,12.0,33.0
0,507.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,4.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,410.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,507.8666666666667,11.033333333333333,413.1333333333333,507.0,4.0,382.0,507.0,27.0,382.0,509.0,27.0,430.0,2.0,27.0,48.0
0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,382.0,448.0,448.0,448.0,448.0,448.0,448.0,448.0,507.43333333333334,27.5,407.4,506.0,27.0,382.0,506.0,57.0,448.0,507.0,57.0,448.0,3.0,45.0,66.0
0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,448.0,448.0,448.0,448.0,448.0,448.0,448.0,448.0,448.0,448.0,448.0,448.0,448.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,506.3666666666667,59.5,426.9,506.0,57.0,448.0,506.0,192.0,479.0,506.0,192.0,479.0,1.0,165.0,97.0
0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,509.0,509.0,57.0,57.0,57.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,277.0,277.0,448.0,448.0,448.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,441.0,441.0,506.0,133.5,465.56666666666666,506.0,57.0,448.0,506.0,192.0,479.0,506.0,192.0,479.0,0.0,135.0,31.0
0,506.0,506.0,506.0,506.0,506.0,506.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,511.0,511.0,192.0,192.0,192.0,192.0,192.0,192.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,348.0,348.0,479.0,479.0,479.0,479.0,479.0,479.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,441.0,482.0,482.0,507.3,228.83333333333334,462.53333333333336,506.0,192.0,441.0,509.0,277.0,441.0,511.0,348.0,482.0,3.0,85.0,38.0
