,unixtime,emg0,emg1,emg0_ampl,emg1_ampl,emg0_med,emg1_med
0,1555413709.8283916,506.0,510.0,9.0,14.0,508.4,509.8
1,1555413709.8935454,510.0,503.0,9.0,14.0,508.65,509.35
2,1555413709.9575226,515.0,500.0,9.0,17.0,509.25,508.65
3,1555413710.0361025,515.0,500.0,9.0,17.0,509.6,508.1
4,1555413710.1010404,509.0,511.0,9.0,17.0,509.6,508.15
5,1555413710.1630893,508.0,512.0,9.0,17.0,509.55,508.3
6,1555413710.2265189,509.0,513.0,9.0,17.0,509.5,508.4
7,1555413710.2932804,506.0,513.0,9.0,17.0,509.25,508.55
8,1555413710.3556635,506.0,509.0,9.0,17.0,509.1,508.65
9,1555413710.4182432,507.0,511.0,9.0,17.0,508.9,508.6
10,1555413710.486884,511.0,511.0,9.0,14.0,509.0,508.3
11,1555413710.5503302,512.0,507.0,9.0,14.0,509.25,508.05
12,1555413710.6135466,513.0,501.0,9.0,14.0,509.6,507.7
13,1555413710.6821349,513.0,501.0,9.0,14.0,509.65,507.6
14,1555413710.766561,511.0,507.0,9.0,14.0,509.6,507.8
15,1555413710.832733,505.0,508.0,10.0,14.0,509.3,507.75
16,1555413710.8996627,501.0,513.0,14.0,14.0,508.9,508.0
17,1555413710.9671535,504.0,509.0,14.0,14.0,508.65,508.15
18,1555413711.037187,506.0,509.0,14.0,14.0,508.65,508.1
19,1555413711.1027777,508.0,507.0,14.0,13.0,508.75,507.75
20,1555413711.1662717,507.0,512.0,14.0,13.0,508.8,507.85
21,1555413711.2384684,511.0,514.0,14.0,14.0,508.85,508.4
22,1555413711.3026576,510.0,505.0,14.0,14.0,508.6,508.65
23,1555413711.3854492,507.0,515.0,12.0,14.0,508.2,509.4
24,1555413711.451131,508.0,511.0,12.0,14.0,508.15,509.4
25,1555413711.522642,510.0,509.0,12.0,14.0,508.25,509.25
26,1555413711.5953429,512.0,501.0,12.0,14.0,508.4,508.65
27,1555413711.6670897,505.0,510.0,12.0,14.0,508.35,508.5
28,1555413711.7291594,504.0,511.0,12.0,14.0,508.25,508.6
29,1555413711.793708,507.0,510.0,12.0,14.0,508.25,508.55
30,1555413711.8577957,509.0,514.0,12.0,14.0,508.15,508.7
31,1555413711.9236233,507.0,515.0,12.0,14.0,507.9,509.1
