,emg_min_0,emg_min_1,emg_min_2,emg_0,emg_1,emg_2,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_med_0,emg_med_1,emg_med_2,emg_max_0,emg_max_1,emg_max_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19
0,506.0,475.0,482.0,500,500,500,17.0,44.0,40.0,510.6,487.46666666666664,507.6333333333333,523.0,519.0,522.0,514.0,514.0,514.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,523.0,523.0,523.0,523.0,497.0,497.0,497.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,519.0,519.0,519.0,519.0,495.0,495.0,495.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,482.0,482.0,482.0,482.0
0,508.0,519.0,482.0,500,500,500,17.0,54.0,40.0,517.9666666666667,507.6,493.96666666666664,523.0,529.0,521.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,508.0,508.0,508.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,529.0,529.0,529.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,521.0,521.0,521.0
0,508.0,513.0,482.0,500,500,500,21.0,16.0,39.0,517.6,522.2,499.73333333333335,529.0,529.0,521.0,523.0,523.0,523.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0,519.0,519.0,519.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,482.0,482.0,482.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0
0,520.0,513.0,498.0,500,500,500,21.0,16.0,23.0,522.3,517.3333333333334,505.56666666666666,529.0,516.0,509.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0,520.0,520.0,520.0,520.0,520.0,520.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,516.0,516.0,516.0,516.0,516.0,516.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,509.0,509.0,509.0,509.0,509.0,509.0
0,520.0,492.0,498.0,500,500,500,10.0,24.0,11.0,525.1333333333333,513.6,503.0,530.0,516.0,509.0,529.0,529.0,529.0,529.0,529.0,529.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,530.0,530.0,513.0,513.0,513.0,513.0,513.0,513.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,492.0,492.0,492.0,498.0,498.0,498.0,498.0,498.0,498.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,505.0,505.0,505.0
0,520.0,492.0,505.0,500,500,500,29.0,24.0,19.0,526.7333333333333,506.8,506.76666666666665,549.0,516.0,517.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,549.0,549.0,549.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,501.0,501.0,501.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,517.0,517.0,517.0
0,479.0,474.0,497.0,500,500,500,70.0,27.0,20.0,521.2333333333333,489.9,507.26666666666665,549.0,501.0,517.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0
0,479.0,474.0,497.0,500,500,500,14.0,14.0,11.0,486.93333333333334,479.6,501.23333333333335,493.0,488.0,508.0,479.0,479.0,479.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,474.0,474.0,474.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,497.0,497.0,497.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0
0,493.0,475.0,508.0,500,500,500,13.0,13.0,42.0,494.3,480.3666666666667,510.0,506.0,478.0,544.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,506.0,506.0,506.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,475.0,475.0,475.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,544.0,544.0,544.0
0,493.0,475.0,508.0,500,500,500,13.0,3.0,36.0,500.5,476.3333333333333,528.5,506.0,479.0,544.0,493.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,497.0,497.0,497.0,497.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,479.0,479.0,479.0,479.0,544.0,544.0,544.0,544.0,544.0,544.0,544.0,544.0,544.0,544.0,544.0,544.0,544.0,544.0,544.0,544.0,511.0,511.0,511.0,511.0
