,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_max_0,emg_max_1,emg_max_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_min_0,emg_min_1,emg_min_2,emg_0,emg_1,emg_2,emg_med_0,emg_med_1,emg_med_2
0,12.0,15.0,22.0,498.0,502.0,523.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,501.0,496.0,492.0,501.0,500,500,500,500.26666666666665,499.8333333333333,511.93333333333334
0,4.0,12.0,6.0,496.0,504.0,501.0,496.0,496.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,501.0,501.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,492.0,492.0,495.0,500,500,500,493.73333333333335,498.8,497.6
0,7.0,5.0,18.0,492.0,504.0,513.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,488.0,488.0,488.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,499.0,499.0,499.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,513.0,513.0,513.0,485.0,499.0,495.0,500,500,500,489.53333333333336,502.5,500.6
0,7.0,5.0,18.0,488.0,500.0,513.0,485.0,485.0,485.0,485.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,488.0,500.0,500.0,500.0,500.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,510.0,510.0,510.0,510.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,513.0,485.0,499.0,510.0,500,500,500,487.53333333333336,500.0,509.6
0,10.0,9.0,7.0,498.0,503.0,520.0,491.0,491.0,491.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,498.0,503.0,503.0,503.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,494.0,520.0,520.0,520.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,491.0,494.0,519.0,500,500,500,494.46666666666664,497.23333333333335,518.2666666666667
0,12.0,20.0,34.0,510.0,514.0,507.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,514.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,502.0,502.0,485.0,500,500,500,503.2,506.1333333333333,503.93333333333334
0,8.0,12.0,22.0,510.0,502.0,485.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,511.0,511.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,510.0,510.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,485.0,519.0,519.0,510.0,502.0,485.0,500,500,500,507.6,505.6,491.6
0,10.0,13.0,34.0,520.0,510.0,519.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,511.0,497.0,516.0,500,500,500,514.4666666666667,503.73333333333335,513.2666666666667
0,4.0,10.0,12.0,520.0,506.0,528.0,520.0,520.0,520.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,497.0,497.0,497.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,516.0,516.0,516.0,528.0,528.0,528.0,528.0,528.0,528.0,528.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,516.0,496.0,516.0,500,500,500,517.8666666666667,499.46666666666664,519.4
0,3.0,20.0,15.0,519.0,506.0,518.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,506.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,486.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,503.0,516.0,486.0,503.0,500,500,500,517.0,499.3333333333333,513.0
