,emg_max_0,emg_max_1,emg_max_2,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_min_0,emg_min_1,emg_min_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_med_0,emg_med_1,emg_med_2,emg_0,emg_1,emg_2
0,521.0,563.0,502.0,24.0,129.0,173.0,500.0,516.0,485.0,500.0,511.0,511.0,511.0,511.0,511.0,510.0,510.0,510.0,510.0,510.0,521.0,521.0,521.0,521.0,514.0,514.0,514.0,514.0,521.0,522.0,516.0,516.0,516.0,516.0,516.0,518.0,518.0,518.0,518.0,518.0,530.0,530.0,530.0,530.0,563.0,563.0,563.0,563.0,555.0,495.0,502.0,502.0,502.0,502.0,502.0,500.0,500.0,500.0,500.0,500.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,485.0,508.3333333333333,498.8,529.7333333333333,521.0,555.0,485.0
0,521.0,563.0,502.0,24.0,129.0,173.0,510.0,516.0,485.0,511.0,510.0,510.0,510.0,510.0,510.0,521.0,521.0,521.0,521.0,514.0,514.0,514.0,514.0,521.0,521.0,521.0,521.0,520.0,520.0,516.0,518.0,518.0,518.0,518.0,518.0,530.0,530.0,530.0,530.0,563.0,563.0,563.0,563.0,555.0,555.0,555.0,555.0,558.0,558.0,502.0,500.0,500.0,500.0,500.0,500.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,485.0,485.0,485.0,485.0,502.0,502.0,509.5111111111111,511.8222222222222,512.1555555555556,520.0,558.0,502.0
0,521.0,563.0,509.0,24.0,98.0,57.0,514.0,530.0,485.0,521.0,521.0,521.0,521.0,514.0,514.0,514.0,514.0,521.0,521.0,521.0,521.0,521.0,520.0,520.0,520.0,520.0,520.0,517.0,517.0,530.0,530.0,530.0,530.0,563.0,563.0,563.0,563.0,555.0,555.0,555.0,555.0,555.0,558.0,558.0,558.0,558.0,558.0,562.0,562.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,485.0,485.0,485.0,485.0,485.0,502.0,502.0,502.0,502.0,502.0,509.0,509.0,511.4222222222222,526.7111111111111,498.5111111111111,517.0,562.0,509.0
0,521.0,571.0,509.0,24.0,81.0,29.0,508.0,555.0,483.0,514.0,514.0,514.0,521.0,521.0,521.0,521.0,521.0,520.0,520.0,520.0,520.0,520.0,517.0,517.0,517.0,517.0,517.0,517.0,508.0,563.0,563.0,563.0,555.0,555.0,555.0,555.0,555.0,558.0,558.0,558.0,558.0,558.0,562.0,562.0,562.0,562.0,562.0,562.0,571.0,490.0,490.0,490.0,485.0,485.0,485.0,485.0,485.0,502.0,502.0,502.0,502.0,502.0,509.0,509.0,509.0,509.0,509.0,509.0,483.0,513.0444444444445,536.1777777777778,496.2,508.0,571.0,483.0
0,521.0,571.0,509.0,21.0,55.0,29.0,508.0,536.0,480.0,521.0,521.0,521.0,520.0,520.0,520.0,520.0,520.0,517.0,517.0,517.0,517.0,517.0,517.0,508.0,508.0,508.0,508.0,515.0,515.0,555.0,555.0,555.0,558.0,558.0,558.0,558.0,558.0,562.0,562.0,562.0,562.0,562.0,562.0,571.0,571.0,571.0,571.0,536.0,536.0,485.0,485.0,485.0,502.0,502.0,502.0,502.0,502.0,509.0,509.0,509.0,509.0,509.0,509.0,483.0,483.0,483.0,483.0,480.0,480.0,513.6444444444444,543.2222222222222,495.24444444444447,515.0,536.0,480.0
0,520.0,571.0,509.0,21.0,55.0,29.0,508.0,531.0,480.0,520.0,520.0,520.0,520.0,517.0,517.0,517.0,517.0,517.0,517.0,508.0,508.0,508.0,508.0,515.0,515.0,515.0,515.0,509.0,509.0,558.0,558.0,558.0,558.0,562.0,562.0,562.0,562.0,562.0,562.0,571.0,571.0,571.0,571.0,536.0,536.0,536.0,536.0,531.0,531.0,502.0,502.0,502.0,502.0,509.0,509.0,509.0,509.0,509.0,509.0,483.0,483.0,483.0,483.0,480.0,480.0,480.0,480.0,496.0,496.0,514.8444444444444,544.3555555555556,494.26666666666665,509.0,531.0,496.0
0,517.0,571.0,509.0,13.0,69.0,29.0,508.0,502.0,480.0,517.0,517.0,517.0,517.0,517.0,517.0,508.0,508.0,508.0,508.0,515.0,515.0,515.0,515.0,515.0,509.0,509.0,509.0,509.0,508.0,562.0,562.0,562.0,562.0,562.0,562.0,571.0,571.0,571.0,571.0,536.0,536.0,536.0,536.0,536.0,531.0,531.0,531.0,531.0,502.0,509.0,509.0,509.0,509.0,509.0,509.0,483.0,483.0,483.0,483.0,480.0,480.0,480.0,480.0,480.0,496.0,496.0,496.0,496.0,498.0,514.8888888888889,544.9111111111112,493.93333333333334,508.0,502.0,498.0
0,517.0,571.0,509.0,13.0,69.0,29.0,508.0,502.0,480.0,517.0,508.0,508.0,508.0,508.0,515.0,515.0,515.0,515.0,515.0,509.0,509.0,509.0,509.0,508.0,508.0,508.0,508.0,508.0,508.0,562.0,571.0,571.0,571.0,571.0,536.0,536.0,536.0,536.0,536.0,531.0,531.0,531.0,531.0,502.0,502.0,502.0,502.0,502.0,502.0,509.0,483.0,483.0,483.0,483.0,480.0,480.0,480.0,480.0,480.0,496.0,496.0,496.0,496.0,498.0,498.0,498.0,498.0,498.0,498.0,514.6222222222223,543.2222222222222,493.6222222222222,508.0,502.0,498.0
0,515.0,536.0,526.0,16.0,104.0,46.0,505.0,467.0,480.0,515.0,515.0,515.0,515.0,509.0,509.0,509.0,509.0,508.0,508.0,508.0,508.0,508.0,508.0,505.0,505.0,505.0,505.0,505.0,505.0,536.0,536.0,536.0,536.0,531.0,531.0,531.0,531.0,502.0,502.0,502.0,502.0,502.0,502.0,487.0,487.0,487.0,487.0,467.0,467.0,480.0,480.0,480.0,480.0,496.0,496.0,496.0,496.0,498.0,498.0,498.0,498.0,498.0,498.0,509.0,509.0,509.0,509.0,526.0,526.0,512.9777777777778,537.1333333333333,496.46666666666664,505.0,467.0,526.0
0,509.0,531.0,527.0,21.0,104.0,47.0,500.0,467.0,496.0,509.0,509.0,509.0,509.0,508.0,508.0,508.0,508.0,508.0,508.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,500.0,500.0,531.0,531.0,531.0,531.0,502.0,502.0,502.0,502.0,502.0,502.0,487.0,487.0,487.0,487.0,467.0,467.0,467.0,467.0,474.0,474.0,496.0,496.0,496.0,496.0,498.0,498.0,498.0,498.0,498.0,498.0,509.0,509.0,509.0,509.0,526.0,526.0,526.0,526.0,527.0,527.0,512.0666666666667,528.7555555555556,499.68888888888887,500.0,474.0,527.0
0,508.0,502.0,536.0,21.0,118.0,56.0,500.0,453.0,498.0,508.0,508.0,508.0,508.0,508.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,500.0,500.0,500.0,500.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,487.0,487.0,487.0,487.0,467.0,467.0,467.0,467.0,467.0,474.0,474.0,474.0,474.0,453.0,453.0,498.0,498.0,498.0,498.0,498.0,509.0,509.0,509.0,509.0,526.0,526.0,526.0,526.0,526.0,527.0,527.0,527.0,527.0,536.0,536.0,510.24444444444447,521.0888888888888,503.6222222222222,502.0,453.0,536.0
0,505.0,487.0,543.0,17.0,118.0,63.0,500.0,453.0,509.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,500.0,500.0,500.0,500.0,502.0,502.0,502.0,502.0,502.0,501.0,501.0,487.0,487.0,487.0,487.0,467.0,467.0,467.0,467.0,467.0,474.0,474.0,474.0,474.0,453.0,453.0,453.0,453.0,453.0,453.0,453.0,509.0,509.0,509.0,509.0,526.0,526.0,526.0,526.0,526.0,527.0,527.0,527.0,527.0,536.0,536.0,536.0,536.0,536.0,543.0,543.0,507.77777777777777,507.15555555555557,508.84444444444443,501.0,453.0,543.0
0,505.0,474.0,543.0,15.0,124.0,63.0,500.0,447.0,507.0,505.0,505.0,505.0,500.0,500.0,500.0,500.0,502.0,502.0,502.0,502.0,502.0,501.0,501.0,501.0,501.0,501.0,501.0,500.0,500.0,467.0,467.0,467.0,474.0,474.0,474.0,474.0,453.0,453.0,453.0,453.0,453.0,453.0,453.0,453.0,453.0,453.0,453.0,447.0,447.0,526.0,526.0,526.0,527.0,527.0,527.0,527.0,536.0,536.0,536.0,536.0,536.0,543.0,543.0,543.0,543.0,543.0,543.0,507.0,507.0,505.6,492.35555555555555,511.77777777777777,500.0,447.0,507.0
0,502.0,474.0,543.0,16.0,89.0,63.0,499.0,447.0,498.0,500.0,500.0,502.0,502.0,502.0,502.0,502.0,501.0,501.0,501.0,501.0,501.0,501.0,500.0,500.0,500.0,500.0,500.0,499.0,499.0,474.0,474.0,453.0,453.0,453.0,453.0,453.0,453.0,453.0,453.0,453.0,453.0,453.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,527.0,527.0,536.0,536.0,536.0,536.0,536.0,543.0,543.0,543.0,543.0,543.0,543.0,507.0,507.0,507.0,507.0,507.0,498.0,498.0,504.5111111111111,479.35555555555555,514.1111111111111,499.0,447.0,498.0
0,509.0,453.0,543.0,10.0,86.0,55.0,499.0,445.0,488.0,502.0,502.0,502.0,501.0,501.0,501.0,501.0,501.0,501.0,500.0,500.0,500.0,500.0,500.0,499.0,499.0,499.0,499.0,509.0,509.0,453.0,453.0,453.0,453.0,453.0,453.0,453.0,453.0,453.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,445.0,445.0,536.0,536.0,536.0,543.0,543.0,543.0,543.0,543.0,543.0,507.0,507.0,507.0,507.0,507.0,498.0,498.0,498.0,498.0,488.0,488.0,503.53333333333336,471.35555555555555,515.2666666666667,509.0,445.0,488.0
0,509.0,469.0,543.0,10.0,57.0,55.0,499.0,445.0,488.0,501.0,501.0,501.0,501.0,500.0,500.0,500.0,500.0,500.0,499.0,499.0,499.0,499.0,509.0,509.0,509.0,509.0,509.0,509.0,502.0,453.0,453.0,453.0,453.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,445.0,445.0,445.0,445.0,445.0,445.0,469.0,543.0,543.0,543.0,543.0,507.0,507.0,507.0,507.0,507.0,498.0,498.0,498.0,498.0,488.0,488.0,488.0,488.0,488.0,488.0,502.0,503.4,462.97777777777776,514.6444444444444,502.0,469.0,502.0
0,509.0,476.0,543.0,10.0,57.0,55.0,499.0,445.0,488.0,501.0,500.0,500.0,500.0,500.0,500.0,499.0,499.0,499.0,499.0,509.0,509.0,509.0,509.0,509.0,509.0,502.0,502.0,505.0,505.0,453.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,445.0,445.0,445.0,445.0,445.0,445.0,469.0,469.0,476.0,476.0,543.0,507.0,507.0,507.0,507.0,507.0,498.0,498.0,498.0,498.0,488.0,488.0,488.0,488.0,488.0,488.0,502.0,502.0,517.0,517.0,503.1333333333333,461.0888888888889,515.5777777777778,505.0,476.0,517.0
0,514.0,493.0,517.0,15.0,48.0,55.0,499.0,445.0,488.0,500.0,500.0,500.0,499.0,499.0,499.0,499.0,509.0,509.0,509.0,509.0,509.0,509.0,502.0,502.0,505.0,505.0,505.0,514.0,514.0,447.0,447.0,447.0,447.0,447.0,447.0,447.0,445.0,445.0,445.0,445.0,445.0,445.0,469.0,469.0,476.0,476.0,476.0,493.0,493.0,507.0,507.0,507.0,498.0,498.0,498.0,498.0,488.0,488.0,488.0,488.0,488.0,488.0,502.0,502.0,517.0,517.0,517.0,515.0,515.0,503.4,460.44444444444446,516.5111111111111,514.0,493.0,515.0
0,514.0,516.0,517.0,15.0,71.0,55.0,499.0,445.0,488.0,499.0,499.0,499.0,509.0,509.0,509.0,509.0,509.0,509.0,502.0,502.0,505.0,505.0,505.0,514.0,514.0,514.0,514.0,514.0,508.0,447.0,447.0,447.0,445.0,445.0,445.0,445.0,445.0,445.0,469.0,469.0,476.0,476.0,476.0,493.0,493.0,493.0,493.0,493.0,516.0,498.0,498.0,498.0,488.0,488.0,488.0,488.0,488.0,488.0,502.0,502.0,517.0,517.0,517.0,515.0,515.0,515.0,515.0,515.0,514.0,504.06666666666666,461.93333333333334,516.6444444444444,508.0,516.0,514.0
0,514.0,521.0,530.0,15.0,76.0,55.0,499.0,445.0,488.0,499.0,509.0,509.0,509.0,509.0,509.0,509.0,502.0,502.0,505.0,505.0,505.0,514.0,514.0,514.0,514.0,514.0,508.0,508.0,514.0,447.0,445.0,445.0,445.0,445.0,445.0,445.0,469.0,469.0,476.0,476.0,476.0,493.0,493.0,493.0,493.0,493.0,516.0,516.0,521.0,498.0,488.0,488.0,488.0,488.0,488.0,488.0,502.0,502.0,517.0,517.0,517.0,515.0,515.0,515.0,515.0,515.0,514.0,514.0,530.0,504.3333333333333,464.22222222222223,516.4666666666667,514.0,521.0,530.0
0,514.0,521.0,530.0,15.0,76.0,55.0,502.0,445.0,488.0,509.0,509.0,509.0,509.0,502.0,502.0,505.0,505.0,505.0,514.0,514.0,514.0,514.0,514.0,508.0,508.0,514.0,514.0,514.0,514.0,445.0,445.0,445.0,445.0,469.0,469.0,476.0,476.0,476.0,493.0,493.0,493.0,493.0,493.0,516.0,516.0,521.0,521.0,521.0,521.0,488.0,488.0,488.0,488.0,502.0,502.0,517.0,517.0,517.0,515.0,515.0,515.0,515.0,515.0,514.0,514.0,530.0,530.0,530.0,530.0,505.0444444444444,467.6666666666667,516.7111111111111,514.0,521.0,530.0
0,518.0,546.0,530.0,19.0,101.0,55.0,502.0,445.0,488.0,509.0,502.0,502.0,505.0,505.0,505.0,514.0,514.0,514.0,514.0,514.0,508.0,508.0,514.0,514.0,514.0,514.0,518.0,518.0,518.0,445.0,469.0,469.0,476.0,476.0,476.0,493.0,493.0,493.0,493.0,493.0,516.0,516.0,521.0,521.0,521.0,521.0,546.0,546.0,546.0,488.0,502.0,502.0,517.0,517.0,517.0,515.0,515.0,515.0,515.0,515.0,514.0,514.0,530.0,530.0,530.0,530.0,512.0,512.0,475.0,506.24444444444447,472.46666666666664,515.7111111111111,518.0,546.0,512.0
0,520.0,573.0,530.0,21.0,128.0,68.0,505.0,476.0,475.0,505.0,505.0,514.0,514.0,514.0,514.0,514.0,508.0,508.0,514.0,514.0,514.0,514.0,518.0,518.0,518.0,519.0,519.0,519.0,520.0,476.0,476.0,493.0,493.0,493.0,493.0,493.0,516.0,516.0,521.0,521.0,521.0,521.0,546.0,546.0,546.0,573.0,573.0,573.0,570.0,517.0,517.0,515.0,515.0,515.0,515.0,515.0,514.0,514.0,530.0,530.0,530.0,530.0,512.0,512.0,512.0,475.0,475.0,475.0,490.0,507.77777777777777,483.06666666666666,510.6222222222222,520.0,570.0,490.0
0,520.0,586.0,530.0,21.0,141.0,68.0,508.0,493.0,475.0,514.0,514.0,508.0,508.0,514.0,514.0,514.0,514.0,518.0,518.0,518.0,519.0,519.0,519.0,520.0,520.0,520.0,520.0,510.0,510.0,493.0,493.0,516.0,516.0,521.0,521.0,521.0,521.0,546.0,546.0,546.0,573.0,573.0,573.0,570.0,570.0,570.0,570.0,586.0,586.0,515.0,515.0,514.0,514.0,530.0,530.0,530.0,530.0,512.0,512.0,512.0,475.0,475.0,475.0,490.0,490.0,490.0,490.0,511.0,511.0,509.4222222222222,496.77777777777777,505.8222222222222,510.0,586.0,511.0
