iter	Logloss
0	0.6756118937
1	0.6576368388
2	0.6414846093
3	0.6249286635
4	0.6096369055
5	0.5930918642
6	0.5789909924
7	0.5667829879
8	0.5522237395
9	0.5399639577
10	0.5279919261
11	0.5178513462
12	0.5065914643
13	0.4954973205
14	0.4851806297
15	0.4752800453
16	0.4652504231
17	0.4532586946
18	0.4419037893
19	0.4328903177
20	0.4257266914
21	0.4188820273
22	0.4113180452
23	0.4041322181
24	0.3974695093
25	0.3894576526
26	0.3839978585
27	0.3778585554
28	0.3722237068
29	0.3669406283
30	0.3619942724
31	0.3574613454
32	0.3535709342
33	0.3485909579
34	0.3439337697
35	0.3399463736
36	0.335130428
37	0.3302807386
38	0.3269252841
39	0.3239456407
40	0.3193570564
41	0.3166139012
42	0.311892861
43	0.3072468863
44	0.3039611622
45	0.299926796
46	0.296425515
47	0.2946469755
48	0.2910232234
49	0.2890236276
50	0.2861362412
51	0.2845979635
52	0.282850983
53	0.2802551946
54	0.2775893446
55	0.275100123
56	0.2727658047
57	0.2709132078
58	0.2686862152
59	0.2668318423
60	0.2651952761
61	0.2629830669
62	0.2616065688
63	0.2596062717
64	0.2577575667
65	0.256069986
66	0.2544564377
67	0.2521442862
68	0.2509174254
69	0.2490058973
70	0.2479445627
71	0.246835086
72	0.2460299412
73	0.2449634621
74	0.2442282766
75	0.2431304681
76	0.2422078094
77	0.2413045937
78	0.2404688337
79	0.2387942555
80	0.2375363468
81	0.2367742516
82	0.2356976178
83	0.2348811591
84	0.2337367259
85	0.2330263647
86	0.2316761431
87	0.230301535
88	0.2293437371
89	0.228221059
90	0.2272429027
91	0.2266223235
92	0.2256277388
93	0.2242396701
94	0.2236302088
95	0.2234524513
96	0.2219960771
97	0.2216363382
98	0.2211604578
99	0.2196130851
100	0.2186375244
101	0.2183201732
102	0.2179365929
103	0.2169635149
104	0.216495534
105	0.215856579
106	0.2147647573
107	0.2143785981
108	0.2141995257
109	0.2134957244
110	0.2128461517
111	0.2116268331
112	0.2108167737
113	0.2101405209
114	0.2094102693
115	0.2086031194
116	0.207989105
117	0.2071906106
118	0.2066201422
119	0.2051554131
120	0.2050014573
121	0.2045019028
122	0.2041338868
123	0.2032436201
124	0.2022747767
125	0.2018966886
126	0.2016747931
127	0.2013227798
128	0.200611142
129	0.1996763809
130	0.1990999743
131	0.1984627458
132	0.1971711991
133	0.1969494631
134	0.1962328788
135	0.1959730219
136	0.1958755513
137	0.1955060226
138	0.194826161
139	0.1945962165
140	0.1942397273
141	0.1935658837
142	0.1931051797
143	0.1926668849
144	0.1923620967
145	0.1921071365
146	0.1916732995
147	0.1909633329
148	0.1904573897
149	0.1903597926
150	0.190220687
151	0.1901479347
152	0.1898058471
153	0.1892051168
154	0.1885834163
155	0.1881603993
156	0.187993525
157	0.1877025515
158	0.1875647426
159	0.1871447508
160	0.1869082963
161	0.1866403506
162	0.1858320172
163	0.1851251547
164	0.1848204263
165	0.1842784788
166	0.1835542469
167	0.1829865644
168	0.1818017319
169	0.1813506147
170	0.1811301782
171	0.1810311955
172	0.1805585105
173	0.1802778167
174	0.1796916297
175	0.179559302
176	0.1789098159
177	0.1785918471
178	0.1784120017
179	0.17822537
180	0.1779271861
181	0.1775514457
182	0.1772337015
183	0.1764345094
184	0.1762135054
185	0.1757951545
186	0.1754850371
187	0.1749670067
188	0.174810595
189	0.1735953723
190	0.1732782808
191	0.1730299691
192	0.1727559248
193	0.1723838948
194	0.1719669408
195	0.1713989146
196	0.1711547472
197	0.1709337183
198	0.1706981649
199	0.1705271065
200	0.1702987851
201	0.1699805173
202	0.1697194976
203	0.1692557905
204	0.1685825216
205	0.1682059022
206	0.1677833478
207	0.1672786498
208	0.1665617818
209	0.1663214076
210	0.1658637795
211	0.1657239384
212	0.1656471171
213	0.1655081465
214	0.1653687767
215	0.1652964772
216	0.1652280362
217	0.1649466964
218	0.1647218793
219	0.1644112891
220	0.1643768508
221	0.1639649217
222	0.1636636341
223	0.1633252886
224	0.1629906365
225	0.1625047429
226	0.1624466302
227	0.1623195884
228	0.1616352103
229	0.1615316325
230	0.1614133681
231	0.1613183126
232	0.160856811
233	0.1604011252
234	0.1599604525
235	0.1591648421
236	0.1591033731
237	0.1587517452
238	0.1585720298
239	0.1579258383
240	0.1576427611
241	0.1575076736
242	0.1572036715
243	0.156677418
244	0.1561303851
245	0.1557392356
246	0.1547785616
247	0.1545996127
248	0.1542936294
249	0.1539699297
250	0.1539518391
251	0.1538290416
252	0.1535422808
253	0.1533152312
254	0.1529096045
255	0.1526369643
256	0.152172391
257	0.1518489475
258	0.1517229711
259	0.1514359433
260	0.1512498461
261	0.1507778525
262	0.1507562715
263	0.1506047619
264	0.1504173574
265	0.1501588961
266	0.1498351321
267	0.1492538628
268	0.1489988601
269	0.1489088631
270	0.1488463577
271	0.1487531367
272	0.1485697133
273	0.1484169429
274	0.1477811176
275	0.147614383
276	0.1474254458
277	0.1469466992
278	0.1461759341
279	0.145964578
280	0.1458415191
281	0.1455038323
282	0.1450674073
283	0.1449269104
284	0.1446176796
285	0.1445729866
286	0.1444244266
287	0.1442097898
288	0.144164021
289	0.1439155528
290	0.1435781123
291	0.1434402033
292	0.14231745
293	0.1414117598
294	0.1410008959
295	0.1409575617
296	0.1407192172
297	0.1406937503
298	0.1406738007
299	0.1405595323
300	0.1405317501
301	0.1405023685
302	0.1401938171
303	0.1399340091
304	0.1398588973
305	0.1397794054
306	0.1394793017
307	0.1393315908
308	0.1392574271
309	0.1389119006
310	0.1385334671
311	0.1374084117
312	0.1372593462
313	0.1370344421
314	0.1368338336
315	0.1366192667
316	0.1364544886
317	0.1360903389
318	0.1359947081
319	0.1356818714
320	0.1356681888
321	0.135406736
322	0.1353327938
323	0.1350021134
324	0.1348177423
325	0.1346173041
326	0.1341517325
327	0.1341435655
328	0.1341188292
329	0.1339861915
330	0.1333435538
331	0.1331008778
332	0.1327855639
333	0.1327853046
334	0.132539527
335	0.1323911484
336	0.1323464051
337	0.1322444555
338	0.1320081202
339	0.1318918581
340	0.1314193592
341	0.1304947941
342	0.1301053733
343	0.1299453973
344	0.1297852733
345	0.1296619566
346	0.1295409391
347	0.1292726005
348	0.1284544749
349	0.128141146
350	0.1279037528
351	0.1276222917
352	0.1274593788
353	0.1274367534
354	0.1272925223
355	0.1268850274
356	0.1266180193
357	0.1264328659
358	0.1264008477
359	0.1262454904
360	0.126084803
361	0.1259795495
362	0.1256194661
363	0.125484107
364	0.1251992717
365	0.1249882695
366	0.1245663335
367	0.1244694443
368	0.1244448485
369	0.1244220391
370	0.1241123962
371	0.1236419079
372	0.1234230738
373	0.1234132036
374	0.1232997519
375	0.1231976047
376	0.1231412748
377	0.1229279535
378	0.1228922283
379	0.1227808342
380	0.1227202138
381	0.1226811715
382	0.1224397419
383	0.1222510395
384	0.1213951773
385	0.1210838126
386	0.1206476491
387	0.1204427995
388	0.120303942
389	0.1197780802
390	0.1194491864
391	0.1189618299
392	0.1188506418
393	0.1187876329
394	0.118639369
395	0.1182182231
396	0.1181374406
397	0.1179704679
398	0.1177273
399	0.1176263878
400	0.116882447
401	0.1167432668
402	0.1167035911
403	0.1164625381
404	0.1163521165
405	0.1161444817
406	0.1160905799
407	0.115961265
408	0.1157269596
409	0.1155944574
410	0.1154826644
411	0.115455427
412	0.1150251592
413	0.1148177821
414	0.1147360655
415	0.1144342999
416	0.1143789272
417	0.1142855583
418	0.1141360219
419	0.1138801866
420	0.1134871508
421	0.1134081193
422	0.113379479
423	0.1130519892
424	0.1128138072
425	0.1125903121
426	0.1125811914
427	0.1124664068
428	0.112446082
429	0.1121592449
430	0.1115235162
431	0.1114922885
432	0.1112440266
433	0.1108208267
434	0.1107889773
435	0.1107741057
436	0.1105747941
437	0.1102440866
438	0.1101903598
439	0.1099585882
440	0.1093654238
441	0.1089789063
442	0.108321626
443	0.1076590388
444	0.1076161806
445	0.1075522738
446	0.1072538127
447	0.1069664082
448	0.1065761866
449	0.1062694803
450	0.1062608361
451	0.1054980362
452	0.1053738676
453	0.1052474094
454	0.105033759
455	0.1049648281
456	0.1043270649
457	0.1042550036
458	0.1042199566
459	0.1042130198
460	0.1038350246
461	0.103716245
462	0.1035638482
463	0.1033898973
464	0.1028256885
465	0.1025393013
466	0.1023879708
467	0.1023609476
468	0.1022645018
469	0.1022530765
470	0.1021436639
471	0.1015854256
472	0.1012011889
473	0.1010228482
474	0.1009693858
475	0.1009124238
476	0.1008946949
477	0.1007603216
478	0.1006847279
479	0.100461426
480	0.1003100735
481	0.09984160723
482	0.09977204377
483	0.09972826426
484	0.09965389539
485	0.09959603188
486	0.09956878701
487	0.09911251778
488	0.09885874763
489	0.09881467174
490	0.09863960179
491	0.098578722
492	0.09819124519
493	0.09778171609
494	0.09753705708
495	0.09752484823
496	0.09751722908
497	0.09747676816
498	0.09735613435
499	0.09732372418
500	0.09728483901
501	0.0969787347
502	0.09687950885
503	0.0968670347
504	0.09667802532
505	0.0966724645
506	0.0964609162
507	0.09632401755
508	0.09629146509
509	0.09598846105
510	0.095927422
511	0.09592165414
512	0.0957771966
513	0.09567080353
514	0.09547722433
515	0.09539837054
516	0.09528566526
517	0.09527263601
518	0.09492956547
519	0.09484626023
520	0.09477953791
521	0.09476845405
522	0.0947545963
523	0.09466758028
524	0.0946528424
525	0.09427161965
526	0.09418726607
527	0.09368710253
528	0.09365334656
529	0.09353390102
530	0.09348541835
531	0.09329568814
532	0.09287872048
533	0.09248032438
534	0.09245157274
535	0.09239233122
536	0.09222936186
537	0.09217196494
538	0.09216851108
539	0.09196039055
540	0.09176728074
541	0.09176282404
542	0.09145673956
543	0.09125352203
544	0.09124943813
545	0.09099780479
546	0.09069233457
547	0.09041235981
548	0.09000159337
549	0.08999863837
550	0.08990661522
551	0.08970607814
552	0.08952009291
553	0.08939927662
554	0.08935847414
555	0.08912052081
556	0.08906579557
557	0.0889510548
558	0.08864296261
559	0.08842783
560	0.0879243307
561	0.08788097544
562	0.08787597624
563	0.08784504809
564	0.08771733007
565	0.08756516131
566	0.0875020895
567	0.08736746909
568	0.08717863785
569	0.08686207345
570	0.08676819556
571	0.08659628286
572	0.08657547991
573	0.0864486839
574	0.08605701832
575	0.08589306408
576	0.08577699099
577	0.08574567757
578	0.08573869342
