,emg_0,emg_1,emg_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_max_0,emg_max_1,emg_max_2,emg_min_0,emg_min_1,emg_min_2,emg_med_0,emg_med_1,emg_med_2,emg_ampl_0,emg_ampl_1,emg_ampl_2
0,510.0,499.0,497.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,495.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,492.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,511.0,499.0,497.0,510.0,495.0,492.0,510.6,495.2,493.3,1.0,14.0,7.0
0,512.0,507.0,507.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,497.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,512.0,507.0,507.0,510.0,499.0,497.0,510.6666666666667,499.53333333333336,497.6666666666667,2.0,12.0,15.0
0,511.0,521.0,516.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,512.0,511.0,511.0,511.0,511.0,511.0,511.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,521.0,521.0,521.0,521.0,521.0,521.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,516.0,516.0,516.0,516.0,516.0,516.0,512.0,521.0,516.0,511.0,507.0,507.0,511.3,507.2,505.8333333333333,2.0,22.0,19.0
0,510.0,531.0,519.0,512.0,512.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,510.0,510.0,510.0,510.0,510.0,507.0,507.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,521.0,531.0,531.0,531.0,531.0,531.0,507.0,507.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,519.0,519.0,519.0,519.0,519.0,512.0,531.0,519.0,510.0,507.0,507.0,511.23333333333335,517.0666666666667,512.9,2.0,24.0,12.0
0,511.0,533.0,519.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,531.0,531.0,531.0,531.0,531.0,531.0,531.0,531.0,531.0,531.0,531.0,531.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,511.0,533.0,519.0,510.0,531.0,519.0,510.5,528.8,518.2,1.0,12.0,3.0
0,510.0,535.0,530.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,511.0,510.0,510.0,510.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,533.0,535.0,535.0,535.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,530.0,530.0,530.0,511.0,535.0,530.0,510.0,533.0,519.0,510.6,532.6,520.1,1.0,4.0,11.0
0,508.0,535.0,540.0,511.0,511.0,511.0,511.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,533.0,533.0,533.0,533.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,519.0,519.0,519.0,519.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,511.0,535.0,540.0,508.0,533.0,519.0,509.93333333333334,534.0666666666667,527.5333333333333,3.0,2.0,21.0
0,508.0,530.0,545.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,535.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,508.0,535.0,545.0,508.0,530.0,540.0,508.4,533.6666666666666,539.3333333333334,2.0,5.0,15.0
0,507.0,519.0,543.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,507.0,507.0,507.0,507.0,507.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,530.0,519.0,519.0,519.0,519.0,519.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,545.0,543.0,543.0,543.0,543.0,543.0,508.0,530.0,545.0,507.0,519.0,543.0,507.8666666666667,529.8666666666667,543.4,1.0,16.0,5.0
0,508.0,509.0,538.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,507.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,543.0,538.0,538.0,538.0,538.0,538.0,538.0,538.0,538.0,508.0,519.0,543.0,507.0,509.0,538.0,507.4,518.5,542.1666666666666,1.0,21.0,7.0
