,emg_med_0,emg_med_1,emg_med_2,emg_0,emg_1,emg_2,emg_min_0,emg_min_1,emg_min_2,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_max_0,emg_max_1,emg_max_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19
0,512.2666666666667,537.4222222222222,510.93333333333334,507.0,537.0,534.0,507.0,537.0,505.0,9.0,107.0,43.0,516.0,573.0,534.0,512.0,512.0,512.0,516.0,516.0,516.0,516.0,516.0,511.0,511.0,511.0,511.0,508.0,508.0,508.0,508.0,511.0,511.0,511.0,507.0,562.0,562.0,562.0,569.0,569.0,569.0,569.0,569.0,573.0,573.0,573.0,573.0,568.0,568.0,568.0,568.0,558.0,558.0,558.0,537.0,505.0,505.0,505.0,509.0,509.0,509.0,509.0,509.0,523.0,523.0,523.0,523.0,530.0,530.0,530.0,530.0,533.0,533.0,533.0,534.0
0,512.0666666666667,543.1333333333333,513.7333333333333,514.0,514.0,527.0,507.0,514.0,509.0,9.0,86.0,43.0,516.0,573.0,534.0,516.0,516.0,516.0,511.0,511.0,511.0,511.0,508.0,508.0,508.0,508.0,511.0,511.0,511.0,507.0,507.0,507.0,507.0,507.0,514.0,569.0,569.0,569.0,573.0,573.0,573.0,573.0,568.0,568.0,568.0,568.0,558.0,558.0,558.0,537.0,537.0,537.0,537.0,537.0,514.0,509.0,509.0,509.0,523.0,523.0,523.0,523.0,530.0,530.0,530.0,530.0,533.0,533.0,533.0,534.0,534.0,534.0,534.0,534.0,527.0
0,512.2888888888889,545.2222222222222,516.5333333333333,512.0,500.0,525.0,507.0,500.0,523.0,9.0,73.0,43.0,514.0,573.0,534.0,511.0,511.0,511.0,508.0,508.0,508.0,508.0,511.0,511.0,511.0,507.0,507.0,507.0,507.0,507.0,514.0,514.0,514.0,514.0,512.0,573.0,573.0,573.0,568.0,568.0,568.0,568.0,558.0,558.0,558.0,537.0,537.0,537.0,537.0,537.0,514.0,514.0,514.0,514.0,500.0,523.0,523.0,523.0,530.0,530.0,530.0,530.0,533.0,533.0,533.0,534.0,534.0,534.0,534.0,534.0,527.0,527.0,527.0,527.0,525.0
0,511.9555555555556,543.8666666666667,518.0888888888888,507.0,489.0,519.0,507.0,489.0,519.0,9.0,84.0,39.0,514.0,568.0,534.0,508.0,508.0,508.0,511.0,511.0,511.0,507.0,507.0,507.0,507.0,507.0,514.0,514.0,514.0,514.0,512.0,512.0,512.0,512.0,507.0,568.0,568.0,568.0,558.0,558.0,558.0,537.0,537.0,537.0,537.0,537.0,514.0,514.0,514.0,514.0,500.0,500.0,500.0,500.0,489.0,530.0,530.0,530.0,533.0,533.0,533.0,534.0,534.0,534.0,534.0,534.0,527.0,527.0,527.0,527.0,525.0,525.0,525.0,525.0,519.0
0,511.24444444444447,539.9333333333333,518.3555555555556,505.0,476.0,509.0,505.0,476.0,509.0,11.0,97.0,39.0,514.0,558.0,534.0,511.0,511.0,507.0,507.0,507.0,507.0,507.0,514.0,514.0,514.0,514.0,512.0,512.0,512.0,512.0,507.0,507.0,507.0,507.0,505.0,558.0,558.0,537.0,537.0,537.0,537.0,537.0,514.0,514.0,514.0,514.0,500.0,500.0,500.0,500.0,489.0,489.0,489.0,489.0,476.0,533.0,533.0,534.0,534.0,534.0,534.0,534.0,527.0,527.0,527.0,527.0,525.0,525.0,525.0,525.0,519.0,519.0,519.0,519.0,509.0
0,510.22222222222223,530.3777777777777,519.6888888888889,509.0,458.0,508.0,505.0,458.0,508.0,11.0,115.0,39.0,514.0,537.0,534.0,507.0,514.0,514.0,514.0,514.0,512.0,512.0,512.0,512.0,507.0,507.0,507.0,507.0,505.0,505.0,505.0,505.0,505.0,509.0,509.0,537.0,514.0,514.0,514.0,514.0,500.0,500.0,500.0,500.0,489.0,489.0,489.0,489.0,476.0,476.0,476.0,476.0,476.0,458.0,458.0,534.0,527.0,527.0,527.0,527.0,525.0,525.0,525.0,525.0,519.0,519.0,519.0,519.0,509.0,509.0,509.0,509.0,509.0,508.0,508.0
0,509.75555555555553,519.2,520.1111111111111,504.0,456.0,502.0,504.0,456.0,502.0,12.0,117.0,32.0,512.0,500.0,525.0,512.0,512.0,512.0,512.0,507.0,507.0,507.0,507.0,505.0,505.0,505.0,505.0,505.0,509.0,509.0,509.0,509.0,509.0,509.0,504.0,500.0,500.0,500.0,500.0,489.0,489.0,489.0,489.0,476.0,476.0,476.0,476.0,476.0,458.0,458.0,458.0,458.0,458.0,458.0,456.0,525.0,525.0,525.0,525.0,519.0,519.0,519.0,519.0,509.0,509.0,509.0,509.0,509.0,508.0,508.0,508.0,508.0,508.0,508.0,502.0
0,508.84444444444443,509.06666666666666,519.3777777777777,511.0,452.0,497.0,504.0,452.0,497.0,12.0,121.0,37.0,511.0,489.0,519.0,507.0,507.0,507.0,507.0,505.0,505.0,505.0,505.0,505.0,509.0,509.0,509.0,509.0,509.0,509.0,504.0,504.0,504.0,504.0,511.0,489.0,489.0,489.0,489.0,476.0,476.0,476.0,476.0,476.0,458.0,458.0,458.0,458.0,458.0,458.0,456.0,456.0,456.0,456.0,452.0,519.0,519.0,519.0,519.0,509.0,509.0,509.0,509.0,509.0,508.0,508.0,508.0,508.0,508.0,508.0,502.0,502.0,502.0,502.0,497.0
0,508.46666666666664,498.6,517.5555555555555,499.0,461.0,505.0,499.0,452.0,497.0,15.0,121.0,37.0,511.0,476.0,509.0,505.0,505.0,505.0,505.0,505.0,509.0,509.0,509.0,509.0,509.0,509.0,504.0,504.0,504.0,504.0,511.0,511.0,511.0,511.0,499.0,476.0,476.0,476.0,476.0,476.0,458.0,458.0,458.0,458.0,458.0,458.0,456.0,456.0,456.0,456.0,452.0,452.0,452.0,452.0,461.0,509.0,509.0,509.0,509.0,509.0,508.0,508.0,508.0,508.0,508.0,508.0,502.0,502.0,502.0,502.0,497.0,497.0,497.0,497.0,505.0
0,507.8666666666667,491.26666666666665,515.9111111111112,502.0,457.0,499.0,499.0,452.0,497.0,15.0,116.0,37.0,511.0,476.0,509.0,505.0,505.0,509.0,509.0,509.0,509.0,509.0,509.0,504.0,504.0,504.0,504.0,511.0,511.0,511.0,511.0,499.0,499.0,499.0,502.0,476.0,476.0,458.0,458.0,458.0,458.0,458.0,458.0,456.0,456.0,456.0,456.0,452.0,452.0,452.0,452.0,461.0,461.0,461.0,457.0,509.0,509.0,508.0,508.0,508.0,508.0,508.0,508.0,502.0,502.0,502.0,502.0,497.0,497.0,497.0,497.0,505.0,505.0,505.0,499.0
