,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_min_0,emg_min_1,emg_min_2,emg_med_0,emg_med_1,emg_med_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_0,emg_1,emg_2,emg_max_0,emg_max_1,emg_max_2
0,46.0,246.0,104.0,461.0,423.0,471.0,475.3666666666667,407.2,551.8,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,461.0,461.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,423.0,589.0,589.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,471.0,471.0,500,500,500,464.0,589.0,575.0
0,103.0,194.0,104.0,461.0,395.0,471.0,466.03333333333336,494.0,528.5,464.0,464.0,464.0,464.0,464.0,464.0,461.0,461.0,461.0,461.0,461.0,461.0,461.0,461.0,461.0,461.0,461.0,461.0,564.0,564.0,423.0,423.0,423.0,423.0,423.0,423.0,589.0,589.0,589.0,589.0,589.0,589.0,589.0,589.0,589.0,589.0,589.0,589.0,395.0,395.0,575.0,575.0,575.0,575.0,575.0,575.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,532.0,532.0,500,500,500,564.0,589.0,575.0
0,103.0,194.0,75.0,518.0,395.0,532.0,523.5333333333333,470.6,513.5333333333333,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,518.0,518.0,518.0,518.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,395.0,477.0,477.0,477.0,477.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,546.0,546.0,546.0,546.0,500,500,500,564.0,477.0,546.0
0,46.0,124.0,23.0,518.0,477.0,523.0,537.3333333333334,456.6666666666667,537.5,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,542.0,542.0,542.0,542.0,542.0,542.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,477.0,519.0,519.0,519.0,519.0,519.0,519.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,523.0,523.0,523.0,523.0,523.0,523.0,500,500,500,542.0,519.0,546.0
0,49.0,60.0,23.0,542.0,459.0,523.0,552.9,486.2,526.0333333333333,542.0,542.0,542.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,567.0,493.0,493.0,519.0,519.0,519.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,459.0,626.0,626.0,523.0,523.0,523.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,529.0,529.0,500,500,500,567.0,626.0,529.0
0,89.0,167.0,10.0,478.0,557.0,519.0,506.26666666666665,568.6333333333333,525.6333333333333,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,493.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,626.0,626.0,626.0,626.0,626.0,626.0,626.0,626.0,626.0,626.0,626.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0,529.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,500,500,500,493.0,626.0,529.0
0,42.0,168.0,21.0,478.0,458.0,519.0,481.9,565.2,521.3666666666667,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,478.0,520.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,557.0,458.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,519.0,540.0,500,500,500,520.0,557.0,540.0
0,86.0,99.0,68.0,478.0,458.0,472.0,502.06666666666666,523.1666666666666,519.0333333333333,478.0,478.0,478.0,478.0,478.0,478.0,520.0,520.0,520.0,520.0,520.0,520.0,520.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,557.0,557.0,557.0,557.0,557.0,557.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,519.0,519.0,519.0,519.0,519.0,519.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,472.0,472.0,472.0,472.0,472.0,472.0,472.0,500,500,500,564.0,557.0,540.0
0,86.0,99.0,68.0,518.0,526.0,468.0,545.0666666666667,507.6666666666667,493.8333333333333,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,564.0,518.0,518.0,518.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,526.0,582.0,582.0,582.0,472.0,472.0,472.0,472.0,472.0,472.0,472.0,472.0,472.0,472.0,472.0,472.0,472.0,472.0,472.0,472.0,472.0,468.0,468.0,468.0,500,500,500,564.0,582.0,472.0
0,91.0,86.0,4.0,473.0,496.0,468.0,522.8666666666667,538.5333333333333,469.73333333333335,564.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,518.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,526.0,582.0,582.0,582.0,582.0,582.0,582.0,582.0,582.0,582.0,582.0,582.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,472.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,468.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,500,500,500,564.0,582.0,472.0
0,91.0,86.0,4.0,473.0,496.0,468.0,492.53333333333336,528.5333333333333,468.73333333333335,518.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,546.0,546.0,582.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,451.0,451.0,468.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,469.0,490.0,490.0,500,500,500,518.0,582.0,490.0
0,73.0,45.0,21.0,473.0,451.0,469.0,514.3666666666667,470.5,480.9,473.0,473.0,473.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,546.0,505.0,505.0,496.0,496.0,496.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,451.0,387.0,387.0,469.0,469.0,469.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,490.0,547.0,547.0,500,500,500,546.0,496.0,490.0
0,64.0,123.0,57.0,482.0,328.0,517.0,507.6666666666667,384.23333333333335,524.7,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,505.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,482.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,387.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,517.0,500,500,500,505.0,387.0,547.0
