,emg_min_0,emg_min_1,emg_min_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_med_0,emg_med_1,emg_med_2,emg_0,emg_1,emg_2,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_max_0,emg_max_1,emg_max_2
0,496.0,507.0,470.0,509.0,509.0,509.0,500.0,500.0,500.0,500.0,516.0,516.0,516.0,516.0,496.0,496.0,496.0,496.0,514.0,514.0,514.0,514.0,500.0,507.0,507.0,507.0,511.0,511.0,511.0,511.0,510.0,510.0,510.0,510.0,527.0,527.0,527.0,527.0,525.0,525.0,525.0,525.0,533.0,470.0,470.0,470.0,492.0,492.0,492.0,492.0,521.0,521.0,521.0,521.0,536.0,536.0,536.0,536.0,564.0,564.0,564.0,564.0,572.0,508.15555555555557,507.97777777777776,472.53333333333336,500.0,533.0,572.0,21.0,37.0,164.0,516.0,533.0,572.0
0,496.0,510.0,492.0,500.0,500.0,516.0,516.0,516.0,516.0,496.0,496.0,496.0,496.0,514.0,514.0,514.0,514.0,500.0,500.0,500.0,500.0,500.0,508.0,511.0,511.0,510.0,510.0,510.0,510.0,527.0,527.0,527.0,527.0,525.0,525.0,525.0,525.0,533.0,533.0,533.0,533.0,533.0,532.0,492.0,492.0,521.0,521.0,521.0,521.0,536.0,536.0,536.0,536.0,564.0,564.0,564.0,564.0,572.0,572.0,572.0,572.0,572.0,589.0,507.53333333333336,511.2,487.44444444444446,508.0,532.0,589.0,21.0,37.0,181.0,516.0,533.0,589.0
0,496.0,510.0,521.0,516.0,516.0,496.0,496.0,496.0,496.0,514.0,514.0,514.0,514.0,500.0,500.0,500.0,500.0,500.0,508.0,508.0,508.0,508.0,508.0,510.0,510.0,527.0,527.0,527.0,527.0,525.0,525.0,525.0,525.0,533.0,533.0,533.0,533.0,533.0,532.0,532.0,532.0,532.0,526.0,521.0,521.0,536.0,536.0,536.0,536.0,564.0,564.0,564.0,564.0,572.0,572.0,572.0,572.0,572.0,589.0,589.0,589.0,589.0,580.0,506.9111111111111,514.0888888888888,501.24444444444447,508.0,526.0,580.0,21.0,37.0,181.0,516.0,533.0,589.0
0,496.0,525.0,536.0,496.0,496.0,514.0,514.0,514.0,514.0,500.0,500.0,500.0,500.0,500.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,527.0,527.0,525.0,525.0,525.0,525.0,533.0,533.0,533.0,533.0,533.0,532.0,532.0,532.0,532.0,526.0,526.0,526.0,526.0,526.0,536.0,536.0,564.0,564.0,564.0,564.0,572.0,572.0,572.0,572.0,572.0,589.0,589.0,589.0,589.0,580.0,580.0,580.0,580.0,580.0,506.55555555555554,516.4888888888889,515.6,508.0,526.0,580.0,20.0,36.0,181.0,514.0,533.0,589.0
0,500.0,522.0,552.0,514.0,514.0,500.0,500.0,500.0,500.0,500.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,509.0,509.0,515.0,515.0,525.0,525.0,533.0,533.0,533.0,533.0,533.0,532.0,532.0,532.0,532.0,526.0,526.0,526.0,526.0,526.0,522.0,522.0,522.0,522.0,564.0,564.0,572.0,572.0,572.0,572.0,572.0,589.0,589.0,589.0,589.0,580.0,580.0,580.0,580.0,580.0,564.0,564.0,552.0,552.0,506.8222222222222,517.9333333333333,525.4,515.0,522.0,552.0,20.0,36.0,166.0,515.0,533.0,589.0
0,500.0,515.0,534.0,500.0,500.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,509.0,509.0,515.0,515.0,515.0,515.0,515.0,515.0,505.0,533.0,533.0,532.0,532.0,532.0,532.0,526.0,526.0,526.0,526.0,526.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,515.0,572.0,572.0,589.0,589.0,589.0,589.0,580.0,580.0,580.0,580.0,580.0,564.0,564.0,552.0,552.0,552.0,552.0,552.0,552.0,534.0,507.6,520.9111111111112,540.8,505.0,515.0,534.0,20.0,33.0,145.0,515.0,533.0,589.0
0,505.0,510.0,508.0,508.0,508.0,508.0,508.0,508.0,508.0,509.0,509.0,515.0,515.0,515.0,515.0,515.0,515.0,505.0,505.0,505.0,505.0,505.0,506.0,532.0,526.0,526.0,526.0,526.0,526.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,515.0,515.0,515.0,515.0,515.0,510.0,589.0,580.0,580.0,580.0,580.0,580.0,564.0,564.0,552.0,552.0,552.0,552.0,552.0,552.0,534.0,534.0,534.0,534.0,534.0,508.0,507.2,521.8444444444444,547.9111111111112,506.0,510.0,508.0,20.0,26.0,119.0,515.0,532.0,589.0
0,505.0,510.0,483.0,508.0,509.0,509.0,515.0,515.0,515.0,515.0,515.0,515.0,505.0,505.0,505.0,505.0,505.0,506.0,506.0,506.0,506.0,514.0,514.0,526.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,522.0,515.0,515.0,515.0,515.0,515.0,510.0,510.0,510.0,510.0,512.0,512.0,580.0,564.0,564.0,552.0,552.0,552.0,552.0,552.0,552.0,534.0,534.0,534.0,534.0,534.0,508.0,508.0,508.0,508.0,483.0,483.0,508.02222222222224,521.9111111111112,549.0666666666667,514.0,512.0,483.0,20.0,23.0,106.0,515.0,526.0,580.0
0,505.0,510.0,483.0,515.0,515.0,515.0,515.0,515.0,505.0,505.0,505.0,505.0,505.0,506.0,506.0,506.0,506.0,514.0,514.0,514.0,514.0,514.0,502.0,522.0,522.0,522.0,522.0,522.0,515.0,515.0,515.0,515.0,515.0,510.0,510.0,510.0,510.0,512.0,512.0,512.0,512.0,512.0,509.0,552.0,552.0,552.0,552.0,552.0,534.0,534.0,534.0,534.0,534.0,508.0,508.0,508.0,508.0,483.0,483.0,483.0,483.0,483.0,475.0,507.84444444444443,522.0888888888888,545.6888888888889,514.0,512.0,483.0,19.0,23.0,106.0,515.0,522.0,552.0
0,502.0,504.0,441.0,515.0,505.0,505.0,505.0,505.0,505.0,506.0,506.0,506.0,506.0,514.0,514.0,514.0,514.0,514.0,514.0,502.0,502.0,502.0,502.0,522.0,515.0,515.0,515.0,515.0,515.0,510.0,510.0,510.0,510.0,512.0,512.0,512.0,512.0,512.0,512.0,509.0,509.0,509.0,504.0,552.0,534.0,534.0,534.0,534.0,534.0,508.0,508.0,508.0,508.0,483.0,483.0,483.0,483.0,483.0,483.0,475.0,475.0,475.0,441.0,508.3777777777778,520.3777777777777,539.5111111111111,502.0,504.0,441.0,15.0,29.0,148.0,515.0,522.0,552.0
0,502.0,504.0,441.0,505.0,505.0,506.0,506.0,506.0,506.0,514.0,514.0,514.0,514.0,514.0,514.0,502.0,502.0,502.0,502.0,502.0,502.0,502.0,518.0,515.0,515.0,510.0,510.0,510.0,510.0,512.0,512.0,512.0,512.0,512.0,512.0,509.0,509.0,509.0,504.0,504.0,504.0,504.0,506.0,534.0,534.0,508.0,508.0,508.0,508.0,483.0,483.0,483.0,483.0,483.0,483.0,475.0,475.0,475.0,441.0,441.0,441.0,441.0,450.0,507.6666666666667,518.5555555555555,528.7777777777778,518.0,506.0,450.0,18.0,29.0,148.0,518.0,515.0,534.0
