,emg_0,emg_1,emg_2,emg_ampl_0,emg_ampl_1,emg_ampl_2,emg_min_0,emg_min_1,emg_min_2,emg_prev_0_0,emg_prev_0_1,emg_prev_0_2,emg_prev_0_3,emg_prev_0_4,emg_prev_0_5,emg_prev_0_6,emg_prev_0_7,emg_prev_0_8,emg_prev_0_9,emg_prev_0_10,emg_prev_0_11,emg_prev_0_12,emg_prev_0_13,emg_prev_0_14,emg_prev_0_15,emg_prev_0_16,emg_prev_0_17,emg_prev_0_18,emg_prev_0_19,emg_prev_1_0,emg_prev_1_1,emg_prev_1_2,emg_prev_1_3,emg_prev_1_4,emg_prev_1_5,emg_prev_1_6,emg_prev_1_7,emg_prev_1_8,emg_prev_1_9,emg_prev_1_10,emg_prev_1_11,emg_prev_1_12,emg_prev_1_13,emg_prev_1_14,emg_prev_1_15,emg_prev_1_16,emg_prev_1_17,emg_prev_1_18,emg_prev_1_19,emg_prev_2_0,emg_prev_2_1,emg_prev_2_2,emg_prev_2_3,emg_prev_2_4,emg_prev_2_5,emg_prev_2_6,emg_prev_2_7,emg_prev_2_8,emg_prev_2_9,emg_prev_2_10,emg_prev_2_11,emg_prev_2_12,emg_prev_2_13,emg_prev_2_14,emg_prev_2_15,emg_prev_2_16,emg_prev_2_17,emg_prev_2_18,emg_prev_2_19,emg_med_0,emg_med_1,emg_med_2,emg_max_0,emg_max_1,emg_max_2
0,518.0,521.0,504.0,18.0,31.0,19.0,502.0,513.0,496.0,512.0,512.0,512.0,512.0,502.0,502.0,502.0,502.0,502.0,513.0,513.0,513.0,513.0,513.0,505.0,505.0,505.0,505.0,505.0,518.0,513.0,513.0,513.0,513.0,523.0,523.0,523.0,523.0,523.0,525.0,525.0,525.0,525.0,525.0,523.0,523.0,523.0,523.0,523.0,521.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,502.0,502.0,502.0,502.0,502.0,504.0,504.0,504.0,504.0,504.0,504.0,509.0444444444444,509.7111111111111,493.7111111111111,518.0,525.0,504.0
0,508.0,519.0,500.0,18.0,31.0,19.0,502.0,519.0,496.0,502.0,502.0,502.0,502.0,513.0,513.0,513.0,513.0,513.0,505.0,505.0,505.0,505.0,505.0,518.0,518.0,518.0,518.0,508.0,508.0,523.0,523.0,523.0,523.0,525.0,525.0,525.0,525.0,525.0,523.0,523.0,523.0,523.0,523.0,521.0,521.0,521.0,521.0,519.0,519.0,496.0,496.0,496.0,496.0,502.0,502.0,502.0,502.0,502.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,500.0,500.0,509.8,512.2888888888889,494.9111111111111,518.0,525.0,504.0
0,518.0,515.0,505.0,18.0,31.0,20.0,505.0,515.0,500.0,513.0,513.0,513.0,513.0,513.0,505.0,505.0,505.0,505.0,505.0,518.0,518.0,518.0,518.0,508.0,508.0,508.0,508.0,508.0,518.0,525.0,525.0,525.0,525.0,525.0,523.0,523.0,523.0,523.0,523.0,521.0,521.0,521.0,521.0,519.0,519.0,519.0,519.0,519.0,515.0,502.0,502.0,502.0,502.0,502.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,500.0,500.0,500.0,500.0,500.0,505.0,509.4,514.4222222222222,495.8666666666667,518.0,525.0,505.0
0,516.0,511.0,515.0,18.0,25.0,30.0,505.0,511.0,500.0,505.0,505.0,505.0,505.0,505.0,518.0,518.0,518.0,518.0,508.0,508.0,508.0,508.0,518.0,518.0,518.0,518.0,518.0,516.0,516.0,523.0,523.0,523.0,523.0,523.0,521.0,521.0,521.0,521.0,519.0,519.0,519.0,519.0,515.0,515.0,515.0,515.0,515.0,511.0,511.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,504.0,500.0,500.0,500.0,500.0,505.0,505.0,505.0,505.0,505.0,515.0,515.0,510.55555555555554,516.4,498.1777777777778,518.0,523.0,515.0
0,500.0,510.0,524.0,18.0,20.0,37.0,500.0,510.0,500.0,518.0,518.0,518.0,518.0,508.0,508.0,508.0,508.0,518.0,518.0,518.0,518.0,518.0,516.0,516.0,516.0,516.0,516.0,500.0,500.0,521.0,521.0,521.0,519.0,519.0,519.0,519.0,519.0,515.0,515.0,515.0,515.0,515.0,511.0,511.0,511.0,511.0,511.0,510.0,510.0,504.0,504.0,504.0,500.0,500.0,500.0,500.0,500.0,505.0,505.0,505.0,505.0,505.0,515.0,515.0,515.0,515.0,515.0,524.0,524.0,511.1777777777778,517.1555555555556,501.53333333333336,518.0,521.0,524.0
0,509.0,509.0,538.0,18.0,16.0,42.0,500.0,509.0,500.0,508.0,508.0,508.0,518.0,518.0,518.0,518.0,518.0,516.0,516.0,516.0,516.0,516.0,500.0,500.0,500.0,500.0,500.0,509.0,509.0,519.0,519.0,519.0,515.0,515.0,515.0,515.0,515.0,511.0,511.0,511.0,511.0,511.0,510.0,510.0,510.0,510.0,510.0,509.0,509.0,500.0,500.0,500.0,505.0,505.0,505.0,505.0,505.0,515.0,515.0,515.0,515.0,515.0,524.0,524.0,524.0,524.0,524.0,538.0,538.0,509.9555555555556,517.4222222222222,506.8,518.0,519.0,538.0
0,499.0,509.0,550.0,19.0,16.0,54.0,499.0,509.0,505.0,518.0,518.0,518.0,518.0,516.0,516.0,516.0,516.0,516.0,500.0,500.0,500.0,500.0,500.0,509.0,509.0,509.0,509.0,509.0,499.0,515.0,515.0,515.0,515.0,511.0,511.0,511.0,511.0,511.0,510.0,510.0,510.0,510.0,510.0,509.0,509.0,509.0,509.0,509.0,509.0,505.0,505.0,505.0,505.0,515.0,515.0,515.0,515.0,515.0,524.0,524.0,524.0,524.0,524.0,538.0,538.0,538.0,538.0,538.0,550.0,509.46666666666664,517.0666666666667,510.8,518.0,515.0,550.0
0,508.0,506.0,562.0,19.0,19.0,62.0,499.0,506.0,515.0,516.0,516.0,516.0,516.0,500.0,500.0,500.0,500.0,500.0,509.0,509.0,509.0,509.0,509.0,499.0,499.0,499.0,499.0,499.0,508.0,511.0,511.0,511.0,511.0,510.0,510.0,510.0,510.0,510.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,506.0,515.0,515.0,515.0,515.0,524.0,524.0,524.0,524.0,524.0,538.0,538.0,538.0,538.0,538.0,550.0,550.0,550.0,550.0,550.0,562.0,509.3333333333333,515.4444444444445,517.0666666666667,516.0,511.0,562.0
0,498.0,499.0,566.0,20.0,24.0,66.0,498.0,499.0,524.0,500.0,500.0,500.0,500.0,509.0,509.0,509.0,509.0,509.0,499.0,499.0,499.0,499.0,508.0,508.0,508.0,508.0,508.0,498.0,498.0,510.0,510.0,510.0,510.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,506.0,506.0,506.0,506.0,506.0,499.0,499.0,524.0,524.0,524.0,524.0,538.0,538.0,538.0,538.0,538.0,550.0,550.0,550.0,550.0,562.0,562.0,562.0,562.0,562.0,566.0,566.0,508.55555555555554,513.1777777777778,523.8222222222222,509.0,510.0,566.0
0,494.0,508.0,555.0,24.0,22.0,66.0,494.0,499.0,538.0,509.0,509.0,509.0,509.0,499.0,499.0,499.0,499.0,499.0,508.0,508.0,508.0,508.0,508.0,498.0,498.0,498.0,498.0,498.0,494.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,509.0,506.0,506.0,506.0,506.0,506.0,499.0,499.0,499.0,499.0,499.0,508.0,538.0,538.0,538.0,538.0,550.0,550.0,550.0,550.0,550.0,562.0,562.0,562.0,562.0,562.0,566.0,566.0,566.0,566.0,566.0,555.0,507.68888888888887,510.7111111111111,530.4666666666667,509.0,509.0,566.0
